source_track_id,source_Track Name,source_Artist Name(s),source_Danceability,source_Energy,source_Key,source_Loudness,source_Mode,source_Speechiness,source_Acousticness,source_Instrumentalness,source_Liveness,source_Valence,source_Tempo,source_pid,source_region_genre_id,source_position,source_pid_position,target_track_id,target_Track Name,target_Artist Name(s),target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_pid,target_region_genre_id,target_position,target_pid_position,label
0UtamWoSO1E5UFcfrDNBli,Sir Osthara,Thaman S;Suchitra,0.775,0.737,1.0,-7.979,1.0,0.0844,0.26,0.329,0.126,0.748,93.027,13,telugu_sleep,8,13_8,000PqTyXjCLX8OF0VFASGs,"Parichayam Avakunda (From ""Dhandoraa"")",Mark K Robin;Sri Krishna;Harini Ivaturi;Sreemani,0.528,0.374,7.0,-12.136,1.0,0.0296,0.775,0.000216,0.0942,0.305,89.975,13.0,telugu_sleep,9.0,13_9,1
6d77EgzJQqzb3NX9MjrTww,On The Floor,Gin and Sonic;EMMA LX,0.83,0.936,10.0,-6.951,0.0,0.178,0.19,0.00896,0.0898,0.325,126.018,19,western_dj,101,19_101,3rgTS3933lMWoPiN6CW4qY,Kids (feat. MKLA),KSHMR;Stefy De Cicco;MKLA,0.744,0.866,9.0,-4.834,1.0,0.106,0.0107,0.0537,0.528,0.302,128.027,19.0,western_dj,102.0,19_102,1
582t08OyJrrpS35HyWSruM,Bright Star,Anaïs Mitchell,0.712,0.348,1.0,-8.808,1.0,0.0402,0.618,0.000206,0.107,0.321,99.144,4,hindi_sleep,101,4_101,7qzgHrqG8FgzgPIfBE23Bw,Mr. Saxobeat,Alexandra Stan,0.718,0.93,4.0,-4.169,0.0,0.0529,0.0298,0.000158,0.136,0.787,126.989,,,,,0
4HfN7246HT9BiXgU0d5HLl,Doesn't Really Matter,Car Culture;Physical Therapy;Squirrel Flower,0.542,0.855,4.0,-6.12,1.0,0.045,0.00514,0.122,0.13,0.183,97.011,18,western_chill_lyrics,15,18_15,4EGilW7VYfTULk4RENDfJp,White Gloves ii,Khruangbin,0.721,0.326,2.0,-12.494,0.0,0.0301,0.291,0.841,0.206,0.724,99.918,18.0,western_chill_lyrics,16.0,18_16,1
6AWtSRoOg8ZnGtP9yEig82,528 Hz Remove Self Limiting Beliefs,Serinity Medora,0.182,0.058,8.0,-26.657,0.0,0.0438,0.947,0.821,0.111,0.0378,76.93,24,western_focus,157,24_157,4liIcfDaMjgwLymHO0LUXG,528 Hz Activate Pineal Gland,Serinity Medora,0.14,0.0129,1.0,-25.956,0.0,0.0432,0.991,0.925,0.106,0.0377,140.369,24.0,western_focus,158.0,24_158,1
5MrLQeEVCWueDR4XejhFNG,"Bujji Thalli (From ""Thandel"")",Devi Sri Prasad;Javed Ali;Sreemani,0.436,0.604,0.0,-8.901,0.0,0.127,0.414,0.000146,0.254,0.676,155.777,11,telugu_chill_lyrics,3,11_3,5rF4khMrrwHgEjCLC6sB1f,Hearts On Fire - Acoustic,Jessie Reid,0.371,0.35,5.0,-10.279,1.0,0.0315,0.852,9.64e-06,0.101,0.358,170.712,,,,,0
57xczqwxDF0HZsuPyVEJXa,Manasu Maree,"Amit Trivedi, Shashaa Tirupati, Yazin Nizar",0.695,0.501,11.0,-6.552,1.0,0.0316,0.767,0.0041,0.106,0.511,120.076,14,telugu_sleep,26,14_26,3kcRUbf7R1ShxWL3m997ED,My Love,Soothing Oasis,0.271,0.0762,0.0,-30.175,1.0,0.0438,0.938,0.812,0.0873,0.0682,70.554,,,,,0
3vGy3xMTFig0f0tUrjkbVQ,Chaand Baaliyan Duet,Aditya A;Ishita Parakh,0.671,0.38,4.0,-8.419,1.0,0.0356,0.875,0.0,0.111,0.816,96.945,17,western_chill_lyrics,42,17_42,0iEdt7cayQ2XbicDeWFztj,Khwaab,Anumita Nadesan,0.676,0.376,2.0,-11.282,1.0,0.0351,0.887,0.000183,0.0853,0.226,113.948,17.0,western_chill_lyrics,43.0,17_43,1
2JXMD9KZYaoMcVRP7iDyuU,Ozone,Savione,0.43,0.0312,4.0,-28.378,0.0,0.032,0.945,0.88,0.103,0.133,72.045,23,western_focus,26,23_26,4MUDYVfqUcc8BY4ReETFPt,40 Hz Binaural Beats (Gamma Waves),Calmara Serenitea,0.136,0.00177,1.0,-40.22,1.0,0.0576,0.926,0.96,0.11,0.0334,141.597,,,,,0
60n6ErHlWuhVys1pgG6NOv,Setting Sun,Soothing Oasis,0.179,0.195,2.0,-23.035,1.0,0.0431,0.927,0.954,0.104,0.0306,69.188,28,western_sleep,169,28_169,5RssXVfknLYOMlCjncVFxF,Altitude,Avery's Ambient,0.199,0.0903,6.0,-28.43,0.0,0.0487,0.91,0.915,0.108,0.154,138.297,28.0,western_sleep,170.0,28_170,1
6fF72b2vPbbfxbVQ87QwsW,Brumes,Adrien de la Salle,0.328,0.0506,3.0,-22.913,1.0,0.0505,0.995,0.952,0.0924,0.142,73.323,22,western_focus,141,22_141,2cRrP13fbq1XxmuyQc2j3I,Apart,Alanna Crouch,0.255,0.0145,2.0,-28.081,0.0,0.0442,0.988,0.818,0.0982,0.0595,64.745,22.0,western_focus,142.0,22_142,1
6G8LanLXd3GVoae2jwx4bE,Moving on,Tankeflukt,0.221,0.0332,3.0,-35.442,1.0,0.0405,0.992,0.919,0.13,0.2,171.036,26,western_focus,96,26_96,7rXBrWGuXfc64IG5gD7Kee,Prati,Carluccio,0.442,0.0272,5.0,-23.509,0.0,0.0362,0.994,0.926,0.109,0.287,105.871,26.0,western_focus,97.0,26_97,1
0HNYNlw8qpQl0tIV6eDiJm,Fragment 1,Vivian Roost;Muriël Bostdorp,0.555,0.0554,9.0,-25.06,0.0,0.0293,0.988,0.963,0.0838,0.0719,102.069,22,western_focus,139,22_139,5KozKBGrvgLyxEDRb8VBHj,Long Distance,NOMA,0.468,0.0454,4.0,-31.139,1.0,0.0332,0.99,0.87,0.0949,0.169,146.085,,,,,0
4NUx72gCSPxxPrBUUiNywV,Studying Music with Piano,Study Music Library,0.427,0.000945,4.0,-32.984,1.0,0.0556,0.985,0.968,0.103,0.371,68.464,24,western_focus,7,24_7,3ZBTv0pKvJ6YId7ozxW4Uv,Shiv Tandav Stotram (Har Har Shiv Shankar),Sachet Tandon;Parampara Tandon,0.577,0.805,5.0,-0.553,1.0,0.0398,0.662,0.0,0.201,0.347,77.094,,,,,0
5w1MhmSc5S5iHnhy4s3fFb,Hawayein - Lofi Flip,VIBIE;Arijit Singh;Pritam;Bollywood Lofi,0.489,0.313,2.0,-14.965,1.0,0.0633,0.875,0.0125,0.235,0.332,114.71,27,western_sleep,51,27_51,3ieUtb4ecQgEYxae8dzEUi,Shrike,Hozier,0.496,0.276,7.0,-8.464,0.0,0.0296,0.492,0.00367,0.101,0.0634,153.923,,,,,0
