audio_path,audio_relative_path,region,category,downloaded_playlist_name,downloaded_position,downloaded_title,filename
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\1. Raabta.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\1. Raabta.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,1,Raabta,1. Raabta.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\2. Tum Se Hi.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\2. Tum Se Hi.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,2,Tum Se Hi,2. Tum Se Hi.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\3. Le Aaunga (From _Satyaprem Ki Katha_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\3. Le Aaunga (From _Satyaprem Ki Katha_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,3,Le Aaunga (From _Satyaprem Ki Katha_),3. Le Aaunga (From _Satyaprem Ki Katha_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,4,Agar Ho Tum (From _Mr. And Mrs. Mahi_),4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\5. Ek Din Title Track - From _Ek Din_.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\5. Ek Din Title Track - From _Ek Din_.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,5,Ek Din Title Track - From _Ek Din_,5. Ek Din Title Track - From _Ek Din_.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\6. Dil Jhoom.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\6. Dil Jhoom.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,6,Dil Jhoom,6. Dil Jhoom.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,7,Kesariya (From _Brahmastra_),7. Kesariya (From _Brahmastra_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\8. Koi Naa (From _Bhool Chuk Maaf_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\8. Koi Naa (From _Bhool Chuk Maaf_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,8,Koi Naa (From _Bhool Chuk Maaf_),8. Koi Naa (From _Bhool Chuk Maaf_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\9. Tere Bina.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\9. Tere Bina.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,9,Tere Bina,9. Tere Bina.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\10. Sajni (From _Laapataa Ladies_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\10. Sajni (From _Laapataa Ladies_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,10,Sajni (From _Laapataa Ladies_),10. Sajni (From _Laapataa Ladies_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\11. Zara Sa.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\11. Zara Sa.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,11,Zara Sa,11. Zara Sa.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,12,Ranjha (From _Shershaah_),12. Ranjha (From _Shershaah_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,13,Tere Naina,13. Tere Naina.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\14. Tu Hain Toh (From _Mr. And Mrs. Mahi_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\14. Tu Hain Toh (From _Mr. And Mrs. Mahi_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,14,Tu Hain Toh (From _Mr. And Mrs. Mahi_),14. Tu Hain Toh (From _Mr. And Mrs. Mahi_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\15. Saibo.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\15. Saibo.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,15,Saibo,15. Saibo.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\16. Jee Le Zaraa.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\16. Jee Le Zaraa.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,16,Jee Le Zaraa,16. Jee Le Zaraa.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\17. Bolna (From _Kapoor & Sons (Since 1921)_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\17. Bolna (From _Kapoor & Sons (Since 1921)_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,17,Bolna (From _Kapoor & Sons (Since 1921)_),17. Bolna (From _Kapoor & Sons (Since 1921)_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,18,Samjhawan,18. Samjhawan.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\20. Choo Lo.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\20. Choo Lo.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,20,Choo Lo,20. Choo Lo.mp3
