track_id,track_name,audio_path,audio_relative_path,matrix_path,matrix_relative_path,num_windows,num_features,status
6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00000.npy,data\processed\phase2_feature_matrices\audio_00000.npy,173,30,created
0a17mIL7XTvYqe9mxuPd3y,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00001.npy,data\processed\phase2_feature_matrices\audio_00001.npy,207,30,created
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00002.npy,data\processed\phase2_feature_matrices\audio_00002.npy,194,30,created
4LO5DjN6Tp3UkUvgESuy2t,Samjhawan,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00003.npy,data\processed\phase2_feature_matrices\audio_00003.npy,266,30,created
4bD9z9qa4qg9BhryvYWB7c,Kabira,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\2. Kabira.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\2. Kabira.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00004.npy,data\processed\phase2_feature_matrices\audio_00004.npy,252,30,created
4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\1. Chaleya (From _Jawan_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\1. Chaleya (From _Jawan_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00005.npy,data\processed\phase2_feature_matrices\audio_00005.npy,189,30,created
3hoXhwP0ub9LdSJV4olDIc,Tere Naina,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00006.npy,data\processed\phase2_feature_matrices\audio_00006.npy,273,30,created
7vZz8oJ5qAqB9MghufRK5k,Zinda,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\2. Zinda.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\2. Zinda.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00007.npy,data\processed\phase2_feature_matrices\audio_00007.npy,210,30,created
3kSBSSsXtebECjCggW87yq,Sultan,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\3. Sultan.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\3. Sultan.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00008.npy,data\processed\phase2_feature_matrices\audio_00008.npy,253,30,created
7EpZ8kdKyQM4GMJy2tj0We,Dangal,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\4. Dangal.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\4. Dangal.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00009.npy,data\processed\phase2_feature_matrices\audio_00009.npy,308,30,created
3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\5. Kar Har Maidaan Fateh (From _Sanju_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\5. Kar Har Maidaan Fateh (From _Sanju_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00010.npy,data\processed\phase2_feature_matrices\audio_00010.npy,331,30,created
3uZiNvBNQldjl4OJiKsuxe,Brothers Anthem,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\6. Brothers Anthem.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\6. Brothers Anthem.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00011.npy,data\processed\phase2_feature_matrices\audio_00011.npy,380,30,created
3MxLT7m4BjAA0lQl9lVBcM,Jai Ho,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\7. Jai Ho.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\7. Jai Ho.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00012.npy,data\processed\phase2_feature_matrices\audio_00012.npy,180,30,created
2xYbk2WDq38a0wuRyjT1mE,Jee Karda (Rock Version),C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\8. Jee Karda (Rock Version).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\8. Jee Karda (Rock Version).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00013.npy,data\processed\phase2_feature_matrices\audio_00013.npy,240,30,created
7k3jpyYPnVnbO0p7iejWxL,Saadda Haq,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\9. Saadda Haq.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\9. Saadda Haq.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00014.npy,data\processed\phase2_feature_matrices\audio_00014.npy,409,30,created
01d8tSqJUrPlK1l8FwgsCF,Soorma Anthem,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\11. Soorma Anthem.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\11. Soorma Anthem.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00015.npy,data\processed\phase2_feature_matrices\audio_00015.npy,238,30,created
3pjZQfBShK7O01QvtQwmcg,Raftaarein,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\13. Raftaarein.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\13. Raftaarein.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00016.npy,data\processed\phase2_feature_matrices\audio_00016.npy,290,30,created
0KtHnXQjYkHNDsjTX3XqLc,Bhaag Milkha Bhaag - Rock Version,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\15. Bhaag Milkha Bhaag - Rock Version.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\15. Bhaag Milkha Bhaag - Rock Version.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00017.npy,data\processed\phase2_feature_matrices\audio_00017.npy,280,30,created
0ls3NP6p33ZguJBvLT4o57,Chal Utth Bandeya,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\16. Chal Utth Bandeya.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\16. Chal Utth Bandeya.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00018.npy,data\processed\phase2_feature_matrices\audio_00018.npy,259,30,created
5Gs6NY7QTgEq77V3DtPagv,Unstoppable Now,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\17. Unstoppable Now.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\17. Unstoppable Now.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00019.npy,data\processed\phase2_feature_matrices\audio_00019.npy,178,30,created
4FcZBCb6dANhvsEnFlgJwG,"Ghamand Kar (From ""Tanhaji - The Unsung Warrior"")",C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\18. Ghamand Kar (From _Tanhaji - The Unsung Warrior_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\18. Ghamand Kar (From _Tanhaji - The Unsung Warrior_).mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00020.npy,data\processed\phase2_feature_matrices\audio_00020.npy,214,30,created
4XuVXSMJkiHJXqFsRDZ2w7,Maula Maula,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\19. Maula Maula.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\19. Maula Maula.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00021.npy,data\processed\phase2_feature_matrices\audio_00021.npy,305,30,created
5rNa4JvSQIUVl34hDuA39v,Get Ready To Fight Again,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\20. Get Ready To Fight Again.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\20. Get Ready To Fight Again.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00022.npy,data\processed\phase2_feature_matrices\audio_00022.npy,187,30,created
