track_id,track_name,audio_path,audio_relative_path,matrix_path,matrix_relative_path,num_windows,num_features,status
0vPgX6WTIRv4vBarEt2LAB,Something,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\17. Something.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\17. Something.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00752.npy,data\processed\phase2_feature_matrices\audio_00752.npy,1585,30,created
7gnrkGpHEeZCF4nFuXT3Y8,Celeste,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\71. Celeste.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\71. Celeste.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00782.npy,data\processed\phase2_feature_matrices\audio_00782.npy,1288,30,created
1dsgq1x5u53Q2BXqpKDYGy,Activate the Brain,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\8. Activate the Brain.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\8. Activate the Brain.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00806.npy,data\processed\phase2_feature_matrices\audio_00806.npy,5421,30,created
6kbOkrIAR4iLuNcNbh3cte,639 Hz Love & Harmony,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\57. 639 Hz Love & Harmony.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\57. 639 Hz Love & Harmony.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00808.npy,data\processed\phase2_feature_matrices\audio_00808.npy,4272,30,created
1dF2rZwfwnUT6HsTqvZtGO,639 Hz Unconditional Love,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\71. 639 Hz Unconditional Love.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\71. 639 Hz Unconditional Love.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00812.npy,data\processed\phase2_feature_matrices\audio_00812.npy,1365,30,created
1vc1YMkrQ1yknt1ON0G5A2,639 Hz Vibration of Heart Chakra,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\73. 639 Hz Vibration of Heart Chakra.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\73. 639 Hz Vibration of Heart Chakra.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00814.npy,data\processed\phase2_feature_matrices\audio_00814.npy,1365,30,created
6ps3F1Olu4enaFFq8tn2O0,For the Stars,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\61. For the Stars.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\61. For the Stars.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_00937.npy,data\processed\phase2_feature_matrices\audio_00937.npy,722,30,created
0hkNKzsfWakYmmJ3U4UDjA,scars that shaped me...,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\13. scars that shaped me....mp3,data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\13. scars that shaped me....mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_01173.npy,data\processed\phase2_feature_matrices\audio_01173.npy,810,30,created
73BTEhs7KwnySJt6X0Lytd,dimensions,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\23. dimensions.mp3,data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\23. dimensions.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_01183.npy,data\processed\phase2_feature_matrices\audio_01183.npy,1137,30,created
3zKAa3AAmK8yJ4Vpcrn5xv,our memories,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\48. our memories.mp3,data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\48. our memories.mp3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\processed\phase2_feature_matrices\audio_01208.npy,data\processed\phase2_feature_matrices\audio_01208.npy,867,30,created
