source_clean_index,source_Track URI,source_Track Name,source_Artist Name(s),source_track_id,source_pid,source_region_genre_id,source_position,source_pid_position,source_audio_path,source_audio_relative_path,source_downloaded_title,source_downloaded_playlist_name,source_downloaded_position,source_position_matches,source_filename,source_has_audio,target_clean_index,target_Track URI,target_Track Name,target_Artist Name(s),target_track_id,target_pid,target_region_genre_id,target_position,target_pid_position,target_audio_path,target_audio_relative_path,target_downloaded_title,target_downloaded_playlist_name,target_downloaded_position,target_position_matches,target_filename,target_has_audio,label
,,Best Summer,Alris,4PMN1Vpg3hgJ3p4sckLcPn,20,western_dj,12,20_12,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Songs\12. Best Summer.mp3,data\raw_playlist_songs_downloaded\western\dj\DJ Songs\12. Best Summer.mp3,,,,,,,,,Break My Heart Again,FINNEAS,7zw6nQHTwml1mVuQDf5V6k,29.0,western_sleep,95.0,29_95,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\95. Break My Heart Again.mp3,data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\95. Break My Heart Again.mp3,,,,,,,0
,,Hollow Labyrinth of Light,Otto Virell,1bdhuAqjCW5JUcPQT5QiRS,23,western_focus,51,23_51,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\63. Hollow Labyrinth of Light.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\63. Hollow Labyrinth of Light.mp3,,,,,,,,,Untroubled Mind,Soothing Oasis,5yhXDYwgUiIhtvtvf2MPtp,28.0,western_sleep,92.0,28_92,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\92. Untroubled Mind.mp3,data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\92. Untroubled Mind.mp3,,,,,,,0
,,Masakali,Mohit Chauhan;A.R. Rahman;Prasoon Joshi,5iyNH1Dmxif1k4Nl1gMeuh,9,hindi_study,53,9_53,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\69. Masakali.mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\69. Masakali.mp3,,,,,,,,,Prada,cassö;RAYE;D-Block Europe,59NraMJsLaMCVtwXTSia8i,19.0,western_dj,7.0,19_7,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\3. Prada.mp3","data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\3. Prada.mp3",,,,,,,0
,,Roses - Imanbek Remix,SAINt JHN;Imanbek,24Yi9hE78yPEbZ4kxyoXAI,19,western_dj,1,19_1,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\1. Roses - Imanbek Remix.mp3","data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\1. Roses - Imanbek Remix.mp3",,,,,,,,,Prélude d'une nuit d'automne,Adrien de la Salle,7CGRFqA8jIRdVkupxJcgey,22.0,western_focus,94.0,22_94,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\99. Prélude d'une nuit d'automne.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\99. Prélude d'une nuit d'automne.mp3",,,,,,,0
,,Teri Deewani - Lofi Flip,Kailash Kher;Deepanshu Ruhela;Bollywood Lofi,0Bfima51LTKrxuBYjv0Qwp,27,western_sleep,66,27_66,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\66. Teri Deewani - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\66. Teri Deewani - Lofi Flip.mp3,,,,,,,,,You Only Know,Meanetik,5KXr2jeZeFyRPugvKzmDqG,16.0,western_chill_lyrics,62.0,16_62,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\ELECTRO CHILL POP 🌴🥥Tropical House Relax 2025\83. You Only Know.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\ELECTRO CHILL POP 🌴🥥Tropical House Relax 2025\83. You Only Know.mp3,,,,,,,0
,,Besabriyaan,Armaan Malik;Amaal Mallik;Manoj Muntashir,0pWcUM0z72DhTW7j0fa0QM,9,hindi_study,5,9_5,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\7. Besabriyaan.mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\7. Besabriyaan.mp3,,,,,,,,,Roz Roz,The Yellow Diary;Shilpa Rao,6E6BCsQHXDAdXsrL7zV71N,17.0,western_chill_lyrics,32.0,17_32,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\32. Roz Roz.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\32. Roz Roz.mp3,,,,,,,0
,,Locha-E-Ulfat,Benny Dayal,0LIdJDwGEJUDruEycKBK80,9,hindi_study,25,9_25,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\32. Locha-E-Ulfat.mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\32. Locha-E-Ulfat.mp3,,,,,,,,,Ranjha - Lofi Flip,SPECRO;SKETCH;Jasleen Royal;B Praak;Bollywood Lofi,1xuQlDV5MQG5XAv2Zrvk5E,27.0,western_sleep,64.0,27_64,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\64. Ranjha - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\64. Ranjha - Lofi Flip.mp3,,,,,,,0
,,Maa Tujhe Salaam,A.R. Rahman,3aozKh1z4SSZXAm7TpcXtk,7,hindi_study,17,7_17,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\21. Maa Tujhe Salaam.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\21. Maa Tujhe Salaam.mp3,,,,,,,,,Deep Blue,Ambrosiae,2qmKMYVvHxOQqW0GbMr5VR,26.0,western_focus,62.0,26_62,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\62. Deep Blue.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\62. Deep Blue.mp3,,,,,,,0
596.0,spotify:track:3n1IbkZGIxwP27kiE3TKtP,Get Ready To Fight,Benny Dayal;Siddharth Basrur;Pranaay,3n1IbkZGIxwP27kiE3TKtP,7,hindi_study,25,7_25,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\30. Get Ready To Fight.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\30. Get Ready To Fight.mp3,Get Ready To Fight,Gym workout Hindi songs,30.0,False,30. Get Ready To Fight.mp3,True,597.0,spotify:track:7rMqbvNImA6wy8lxlNUMmj,Bolo Har Har Har,Mithoon;Mohit Chauhan;Sukhwinder Singh;Badshah;Megha Sriram Dalton;Anugrah;Sandeep Shrivastava,7rMqbvNImA6wy8lxlNUMmj,7.0,hindi_study,26.0,7_26,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\31. Bolo Har Har Har.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\31. Bolo Har Har Har.mp3,Bolo Har Har Har,Gym workout Hindi songs,31.0,False,31. Bolo Har Har Har.mp3,True,1
,,Kya Kahein,Divyam Sodhi;Khwaab;Tanmay Maheshwari,1v6g0O3B9MmLPW8jNKPSQg,17,western_chill_lyrics,11,17_11,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\11. Kya Kahein.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\11. Kya Kahein.mp3,,,,,,,,,417 Hz Cleanse Negative Energy,Luna Riversong,5gciuLqgjwVbZiMi4VSPYM,24.0,western_focus,80.0,24_80,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\81. 417 Hz Cleanse Negative Energy.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\81. 417 Hz Cleanse Negative Energy.mp3,,,,,,,0
