source_pid,source_region_genre_id,source_position,source_pid_position,source_track_id,source_Track Name,source_Artist Name(s),source_audio_path,source_audio_relative_path,target_pid,target_region_genre_id,target_position,target_pid_position,target_track_id,target_Track Name,target_Artist Name(s),target_audio_path,target_audio_relative_path,label
2,hindi_chill_lyrics,10,2_10,6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,25,western_focus,56,25_56,1BTga4bUzAmES8zgeXAZVX,chez,new vibe,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Focus Flow\7. chez.mp3,data\raw_playlist_songs_downloaded\western\focus\Focus Flow\7. chez.mp3,0
2,hindi_chill_lyrics,10,2_10,6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,29,western_sleep,39,29_39,5GvwLUcoNOezLC5CgKzAb6,stay awake,ist;SanelliX;SpoonBeats,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\39. stay awake.mp3,data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\39. stay awake.mp3,0
2,hindi_chill_lyrics,11,2_11,0a17mIL7XTvYqe9mxuPd3y,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",Tanishk Bagchi;Kausar Munir;Jubin Nautiyal,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,27,western_sleep,54,27_54,0q1EaeaqfLBLqRvlkSbYi9,Kyon - Lofi Flip,Papon;Harrlin;Bollywood Lofi,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\54. Kyon - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\54. Kyon - Lofi Flip.mp3,0
2,hindi_chill_lyrics,11,2_11,0a17mIL7XTvYqe9mxuPd3y,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",Tanishk Bagchi;Kausar Munir;Jubin Nautiyal,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\4. Agar Ho Tum (From _Mr. And Mrs. Mahi_).mp3,22,western_focus,81,22_81,4ek53waPo7nt7svntdywAR,"For Gabriel (After Pavane, Op. 50)",Adrien de la Salle;Gabriel Fauré,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\86. For Gabriel (After Pavane, Op. 50).mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\86. For Gabriel (After Pavane, Op. 50).mp3",0
2,hindi_chill_lyrics,14,2_14,72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",Jasleen Royal;B Praak;Romy,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,7,hindi_study,20,7_20,2T09SGsKR0gAeRr5k5rfUL,Aag Hun Main,Santhosh Narayanan;Suraj Jagan;Arunraja Kamaraj,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\24. Aag Hun Main.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\24. Aag Hun Main.mp3,0
2,hindi_chill_lyrics,14,2_14,72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",Jasleen Royal;B Praak;Romy,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\12. Ranjha (From _Shershaah_).mp3,9,hindi_study,40,9_40,0mJTAdmY8olbGQjopDYff3,Vaaste,Dhvani Bhanushali;Nikhil D'Souza;Tanishk Bagchi,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\53. Vaaste.mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\53. Vaaste.mp3,0
2,hindi_chill_lyrics,20,2_20,4LO5DjN6Tp3UkUvgESuy2t,Samjhawan,Jawad Ahmad;Shaarib Toshi;Arijit Singh;Shreya Ghoshal,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,26,western_focus,31,26_31,4LfQBA00ulFCsOn8KU7Kun,Plethora,Orphea Nyx,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\31. Plethora.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\31. Plethora.mp3,0
2,hindi_chill_lyrics,20,2_20,4LO5DjN6Tp3UkUvgESuy2t,Samjhawan,Jawad Ahmad;Shaarib Toshi;Arijit Singh;Shreya Ghoshal,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\18. Samjhawan.mp3,23,western_focus,34,23_34,06MH21SjyQ0c5xaM8dc72J,Parallax,Auric Drift,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\35. Parallax.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\35. Parallax.mp3,0
3,hindi_chill_lyrics,3,3_3,4bD9z9qa4qg9BhryvYWB7c,Kabira,Pritam;Tochi Raina;Rekha Bhardwaj;Amitabh Bhattacharya,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\2. Kabira.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\2. Kabira.mp3,25,western_focus,22,25_22,1jVckG8SZelmhcOUEQTmCb,Dreams of Summer,Chetco Effect,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Focus Flow\31. Dreams of Summer.mp3,data\raw_playlist_songs_downloaded\western\focus\Focus Flow\31. Dreams of Summer.mp3,0
3,hindi_chill_lyrics,3,3_3,4bD9z9qa4qg9BhryvYWB7c,Kabira,Pritam;Tochi Raina;Rekha Bhardwaj;Amitabh Bhattacharya,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\2. Kabira.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\2. Kabira.mp3,18,western_chill_lyrics,71,18_71,6M5Y8sn5cXePK58bH1WKon,Delusional,Erika de Casier,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie Chillout\91. Delusional.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie Chillout\91. Delusional.mp3,0
