pid,region_genre_id,input_Danceability,input_Energy,input_Key,input_Loudness,input_Mode,input_Speechiness,input_Acousticness,input_Instrumentalness,input_Liveness,input_Valence,input_Tempo,input_track_id,input_Track Name,input_Artist Name(s),input_pid_position,target_Danceability,target_Energy,target_Key,target_Loudness,target_Mode,target_Speechiness,target_Acousticness,target_Instrumentalness,target_Liveness,target_Valence,target_Tempo,target_track_id,target_Track Name,target_Artist Name(s),target_pid_position
1,hindi_chill_lyrics,0.603,0.708,4.0,-7.047,0.0,0.0379,0.000173,3.36e-06,0.158,0.611,105.046,7vZz8oJ5qAqB9MghufRK5k,Zinda,Shankar-Ehsaan-Loy;Siddharth Mahadevan,1_1,0.669,0.866,2.0,-6.628,1.0,0.0499,0.0589,0.0,0.0463,0.288,119.992,3kSBSSsXtebECjCggW87yq,Sultan,Vishal-Shekhar;Sukhwinder Singh;Shadab Faridi;Irshad Kamil,1_2
1,hindi_chill_lyrics,0.669,0.866,2.0,-6.628,1.0,0.0499,0.0589,0.0,0.0463,0.288,119.992,3kSBSSsXtebECjCggW87yq,Sultan,Vishal-Shekhar;Sukhwinder Singh;Shadab Faridi;Irshad Kamil,1_2,0.618,0.867,6.0,-5.1,0.0,0.139,0.239,0.0,0.0559,0.665,178.017,7EpZ8kdKyQM4GMJy2tj0We,Dangal,Daler Mehndi,1_3
1,hindi_chill_lyrics,0.618,0.867,6.0,-5.1,0.0,0.139,0.239,0.0,0.0559,0.665,178.017,7EpZ8kdKyQM4GMJy2tj0We,Dangal,Daler Mehndi,1_3,0.557,0.821,1.0,-7.794,0.0,0.0573,0.0189,0.0,0.0863,0.184,170.022,3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh;Shreya Ghoshal;Vikram Montrose,1_4
1,hindi_chill_lyrics,0.557,0.821,1.0,-7.794,0.0,0.0573,0.0189,0.0,0.0863,0.184,170.022,3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh;Shreya Ghoshal;Vikram Montrose,1_4,0.552,0.668,2.0,-9.111,1.0,0.0473,0.421,0.0117,0.159,0.152,95.032,3uZiNvBNQldjl4OJiKsuxe,Brothers Anthem,Ajay-Atul;Vishal Dadlani,1_5
1,hindi_chill_lyrics,0.552,0.668,2.0,-9.111,1.0,0.0473,0.421,0.0117,0.159,0.152,95.032,3uZiNvBNQldjl4OJiKsuxe,Brothers Anthem,Ajay-Atul;Vishal Dadlani,1_5,0.73,0.8,7.0,-6.763,1.0,0.0593,0.217,0.000108,0.0977,0.287,136.954,3MxLT7m4BjAA0lQl9lVBcM,Jai Ho,Sukhwinder Singh;Tanvi Shah;Mahalakshmi Iyer;Vijay Prakash,1_6
1,hindi_chill_lyrics,0.73,0.8,7.0,-6.763,1.0,0.0593,0.217,0.000108,0.0977,0.287,136.954,3MxLT7m4BjAA0lQl9lVBcM,Jai Ho,Sukhwinder Singh;Tanvi Shah;Mahalakshmi Iyer;Vijay Prakash,1_6,0.595,0.815,4.0,-7.777,0.0,0.064,0.393,0.0,0.283,0.691,139.993,2xYbk2WDq38a0wuRyjT1mE,Jee Karda (Rock Version),Divya Kumar,1_7
1,hindi_chill_lyrics,0.595,0.815,4.0,-7.777,0.0,0.064,0.393,0.0,0.283,0.691,139.993,2xYbk2WDq38a0wuRyjT1mE,Jee Karda (Rock Version),Divya Kumar,1_7,0.554,0.882,6.0,-5.018,0.0,0.0488,0.091,2.8e-06,0.368,0.627,96.958,7k3jpyYPnVnbO0p7iejWxL,Saadda Haq,Mohit Chauhan,1_8
1,hindi_chill_lyrics,0.554,0.882,6.0,-5.018,0.0,0.0488,0.091,2.8e-06,0.368,0.627,96.958,7k3jpyYPnVnbO0p7iejWxL,Saadda Haq,Mohit Chauhan,1_8,0.723,0.666,7.0,-7.028,0.0,0.0274,0.046,0.0,0.106,0.117,113.99,01d8tSqJUrPlK1l8FwgsCF,Soorma Anthem,Shankar-Ehsaan-Loy;Shankar Mahadevan,1_9
1,hindi_chill_lyrics,0.723,0.666,7.0,-7.028,0.0,0.0274,0.046,0.0,0.106,0.117,113.99,01d8tSqJUrPlK1l8FwgsCF,Soorma Anthem,Shankar-Ehsaan-Loy;Shankar Mahadevan,1_9,0.717,0.92,2.0,-5.779,1.0,0.09,0.0365,0.000825,0.693,0.532,131.996,3pjZQfBShK7O01QvtQwmcg,Raftaarein,Vishal-Shekhar;Vishal Dadlani;Shekhar Ravjiani,1_10
1,hindi_chill_lyrics,0.717,0.92,2.0,-5.779,1.0,0.09,0.0365,0.000825,0.693,0.532,131.996,3pjZQfBShK7O01QvtQwmcg,Raftaarein,Vishal-Shekhar;Vishal Dadlani;Shekhar Ravjiani,1_10,0.678,0.721,9.0,-6.231,1.0,0.0449,0.0331,9.9e-06,0.347,0.323,129.976,0KtHnXQjYkHNDsjTX3XqLc,Bhaag Milkha Bhaag - Rock Version,Shankar-Ehsaan-Loy;Siddharth Mahadevan,1_11
