Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2r6UZZ1JdRsDlfIQHKDjST,"","","",0000,0,0,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"","",0.762,0.718,1,-5.039,1,0.12,0.105,0.00000193,0.118,0.718,98.019,4
spotify:track:7vZz8oJ5qAqB9MghufRK5k,"Zinda","Bhaag Milkha Bhaag (Original Motion Picture Soundtrack)","Shankar-Ehsaan-Loy;Siddharth Mahadevan",2013-06-14,210857,67,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bollywood,sufi,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.603,0.708,4,-7.047,0,0.0379,0.000173,0.00000336,0.158,0.611,105.046,4
spotify:track:3kSBSSsXtebECjCggW87yq,"Sultan","Sultan","Vishal-Shekhar;Sukhwinder Singh;Shadab Faridi;Irshad Kamil",2016-05-31,280137,60,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bollywood,desi,hindi pop,sufi","YRF Music",0.669,0.866,2,-6.628,1,0.0499,0.0589,0,0.0463,0.288,119.992,4
spotify:track:7EpZ8kdKyQM4GMJy2tj0We,"Dangal","Dangal","Daler Mehndi",2016-12-14,299325,0,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bhangra,bollywood","Zee Music Company",0.618,0.867,6,-5.1,0,0.139,0.239,0,0.0559,0.665,178.017,4
spotify:track:3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")","Kar Har Maidaan Fateh (From ""Sanju"")","Sukhwinder Singh;Shreya Ghoshal;Vikram Montrose",2018-06-10,312157,63,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bollywood,desi,hindi pop,kannada pop,marathi pop,bangla pop","T-Series",0.557,0.821,1,-7.794,0,0.0573,0.0189,0,0.0863,0.184,170.022,4
spotify:track:3uZiNvBNQldjl4OJiKsuxe,"Brothers Anthem","Brothers (Original Motion Picture Soundtrack)","Ajay-Atul;Vishal Dadlani",2015-07-24,353669,59,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"marathi pop,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.552,0.668,2,-9.111,1,0.0473,0.421,0.0117,0.159,0.152,95.032,4
spotify:track:3MxLT7m4BjAA0lQl9lVBcM,"Jai Ho","Slumdog Millionaire","Sukhwinder Singh;Tanvi Shah;Mahalakshmi Iyer;Vijay Prakash",2009-01-12,318940,51,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bollywood,desi,hindi pop,tamil pop,kollywood,kannada pop,sandalwood,tollywood,telugu pop","T-Series",0.73,0.8,7,-6.763,1,0.0593,0.217,0.000108,0.0977,0.287,136.954,4
spotify:track:2xYbk2WDq38a0wuRyjT1mE,"Jee Karda (Rock Version)","Badlapur (Original Motion Picture Soundtrack)","Divya Kumar",2015-01-23,239284,0,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bollywood,gujarati garba,hindi pop,desi,gujarati pop","Eros Now Music",0.595,0.815,4,-7.777,0,0.064,0.393,0,0.283,0.691,139.993,4
spotify:track:7k3jpyYPnVnbO0p7iejWxL,"Saadda Haq","Rockstar","Mohit Chauhan",2011-10-01,362662,59,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bollywood,hindi pop,sufi,desi","T-Series",0.554,0.882,6,-5.018,0,0.0488,0.091,0.0000028,0.368,0.627,96.958,4
spotify:track:5uaIbU3oHHcSOK6WFNK5nj,"","","",0000,0,0,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"","",0.766,0.618,11,-8.552,0,0.124,0.0187,0.000115,0.181,0.513,95.054,4
spotify:track:01d8tSqJUrPlK1l8FwgsCF,"Soorma Anthem","Soorma (Original Motion Picture Soundtrack)","Shankar-Ehsaan-Loy;Shankar Mahadevan",2018-07-03,251991,51,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"bollywood,sufi,desi,hindi pop,marathi pop,devotional,bhajan,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.723,0.666,7,-7.028,0,0.0274,0.046,0,0.106,0.117,113.99,4
spotify:track:0mACGvgvCcwjfJCPFLeabh,"","","",0000,0,0,false,31cce4daxfi2nhujuqldendcvot4,2023-07-12T14:08:47Z,"","",0.666,0.833,11,-7.48,0,0.0451,0.0141,0.00000812,0.111,0.541,99.007,4
