Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1bw0tYUf70kQaVeiPd2U7c,"Woh","Woh","Khatth;Sthiti;Shruti Prakash Dash",2025-06-18,194521,51,false,filtrindia,2025-08-14T15:20:42Z,"hindi indie,indian indie","Day One, a division of Sony Music Entertainment India Pvt. Ltd.",0.622,0.795,5,-6.163,0,0.0291,0.231,0.000827,0.145,0.495,93.992,4
spotify:track:4XA2TXEycTQL3xhPV7L2kt,"Savera","Savera","Iqlipse Nova;Anubha Bajaj",2024-06-13,143472,62,false,filtrindia,2024-06-17T07:33:26Z,"indian indie,hindi indie","Sony Music India / Brown",0.775,0.418,6,-10.342,1,0.0327,0.527,0,0.108,0.822,108.057,4
spotify:track:5thVzD79BxlDTYy0LfHzvu,"Zaroor","Zaroor","Aparshakti Khurana;Savi Kahlon",2024-05-28,175448,76,false,filtrindia,2024-05-31T09:45:55Z,"bollywood","Sony Music India / Nine",0.809,0.228,5,-15.365,0,0.176,0.809,0,0.104,0.912,145.024,4
spotify:track:1g8Udsbb3HAZRyMMRF790q,"Karvaan","Karvaan","Rauhan Malik;Raag Stereo;Sakib Nabi",2026-02-13,238285,48,false,filtrindia,2026-02-23T08:23:29Z,"indian indie","Day One, a division of Sony Music Entertainment India Pvt. Ltd.",0.408,0.511,9,-10.304,1,0.0322,0.0259,0.12,0.385,0.254,131.912,4
spotify:track:5ThyDv6aRVU8AH4vXQNldF,"Finding Her","Finding Her","Kushagra;Bharath;Saaheal",2025-01-29,207000,85,false,filtrindia,2025-05-14T05:28:01Z,"hindi indie,indian indie,desi pop,hindi pop","EYP Creations",0.558,0.378,0,-6.419,1,0.0526,0.894,0.00000232,0.0799,0.44,170.195,3
spotify:track:0OlYIIUtBAWF2iEiTYan5h,"Aashiyan","Aashiyan","gini",2025-03-07,174222,44,false,filtrindia,2025-03-11T08:34:36Z,"indian indie,hindi indie","Sony Music India / Brown",0.701,0.52,6,-8.543,1,0.0374,0.459,0.0000204,0.184,0.627,134.953,4
spotify:track:0FCe2NhPWKiSTAipf0lOAT,"Chor","Chor","Justh",2023-12-15,208250,0,false,filtrindia,2024-02-26T05:56:36Z,"indian indie,hindi indie","Justh",0.775,0.407,6,-9.377,1,0.106,0.703,0,0.293,0.492,119.906,4
spotify:track:1ZiReD9pPTttQWwSoYqdyH,"Aankhon Se Batana","Aankhon Se Batana","Dikshant",2022-04-12,221271,71,false,filtrindia,2023-07-13T06:00:37Z,"indian indie,hindi indie","Sony Music Entertainment India Pvt. Ltd.",0.544,0.307,10,-11.361,1,0.0334,0.791,0,0.11,0.335,177.808,4
spotify:track:5HzQLl5EyKpaE2dwgSaK4C,"Maan Jao","Maan Jao","Utsavi Jha",2025-04-25,154616,37,false,filtrindia,2025-05-14T05:27:02Z,"indian indie,hindi indie","Utsavi Jha Under Exclusive License to AWAL",0.852,0.73,3,-7.259,0,0.139,0.56,0.0616,0.185,0.541,102.989,4
spotify:track:5oSRxsQLjlg6tsSg0N7JYO,"Re Manva","Re Manva","Shubham Kabra",2025-02-28,207931,26,false,filtrindia,2025-03-06T06:41:28Z,"hindi indie,indian indie","Day One, a division of Sony Music Entertainment India Pvt. Ltd.",0.701,0.618,0,-7.748,1,0.0303,0.318,0,0.0981,0.298,115.995,3
