Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5t1vQDpm4MKmRzbVaMAJWK,"leave it all behind, Mike","portals//polarities","Night Tapes",2025-09-26,256481,47,false,,2026-04-03T15:22:50Z,"dream pop,lo-fi indie","Nettwerk Music Group",0.488,0.68,8,-7.569,1,0.0274,0.342,0.897,0.112,0.34,92.054,4
spotify:track:1moHlZMn9WeOA3uel2UBWM,"Beck n Call","Memory Be a Blade","waterbaby;ttoh",2026-03-06,203320,52,false,,2026-04-03T15:22:50Z,"alternative pop,bedroom pop,alternative r&b","Sub Pop Records",0.537,0.549,0,-8.849,1,0.0506,0.842,0.604,0.132,0.962,148.969,3
spotify:track:2DpkCVXKWtdekSXzTaCNR3,"Planes","For Mary","Olive Jones",2026-03-13,213272,55,false,,2026-04-03T15:22:50Z,"","Nettwerk Music Group",0.587,0.56,1,-6.387,0,0.0341,0.645,0.00761,0.303,0.225,90.004,4
spotify:track:4cEuGH4VIE5DWNt65Xzpk3,"A Couple Minutes","A Couple Minutes","Jia*",2026-03-13,124040,47,false,,2026-04-03T15:22:50Z,"","Jake and Fia Equals Jia*",0.49,0.242,4,-14.632,1,0.0668,0.798,0.131,0.104,0.225,119.778,4
spotify:track:1Vj11Vm95STtBEL7hSB5Sh,"Images of Love (with Dominic Fike)","Images of Love (with Dominic Fike)","Hether;Dominic Fike",2025-12-05,209942,61,true,,2026-04-03T15:22:50Z,"bedroom pop","R&R Digital",0.534,0.482,8,-8.554,1,0.0462,0.76,0.014,0.115,0.338,71.834,4
spotify:track:2L8V5ufkP4ZzBBqjVBE2SW,"Flood (feat. Bon Iver)","Flood / Glow","Dua Saleh;Bon Iver",2026-02-03,179586,59,false,,2026-04-03T15:22:50Z,"alternative r&b","Ghostly International",0.752,0.657,9,-5.962,1,0.0371,0.129,0.056,0.112,0.391,91.519,4
spotify:track:53j4dcm9Jn47sFJx8nVz5X,"Senses ft. Sampha","Ambiguous Desire","Arlo Parks;Sampha",2026-04-03,242541,56,false,,2026-04-03T15:22:50Z,"indie soul","Transgressive",0.676,0.79,5,-9.063,0,0.0706,0.316,0.000191,0.101,0.424,116.037,4
spotify:track:5TWmdXXBJkNDZzRA94PwAr,"Mononoke","Mononoke","Gabriela Richardson",2026-01-22,207580,46,false,,2026-04-03T15:22:50Z,"","Virgin Music Spain",0.525,0.731,11,-7.177,0,0.0326,0.412,0.812,0.184,0.728,146.075,4
spotify:track:6iCH68EVZeUm0qlIBp5GOO,"Small Change","Small Change","DON WEST",2024-05-29,165020,72,false,,2026-04-03T15:22:50Z,"retro soul","Mandatory Music",0.759,0.72,2,-9.003,1,0.0416,0.794,0.0275,0.299,0.888,129.018,4
spotify:track:6hkafjAcHMk1TtSF6w2wIx,"car","car","Royel Otis",2025-06-25,197396,59,false,,2026-04-03T15:22:50Z,"indie","Ourness / Capitol Records",0.584,0.677,1,-6.59,0,0.0421,0.00331,0.00006,0.0801,0.423,164.963,4
spotify:track:26vyvsOehrRVdXCWmEdLLi,"Mountain Top","Mountain Top","RIO KOSTA",2025-07-16,243206,42,false,,2026-04-03T15:22:50Z,"","2025 Verdigris Records",0.613,0.623,1,-10.108,1,0.0368,0.0464,0.79,0.511,0.541,98.013,4
