Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2vIBf8EmRy7m4Q9kR2dikH,"Tum Se Hi (From ""Love In Lo-Fi Volume 1"")","Tum Se Hi (From ""Love In Lo-Fi Volume 1"")","Mohit Chauhan;Dj Chetas;DJ Nyk",2022-02-14,278776,59,false,31udz5hatufjptdcf4d52esbfykq,2023-12-01T13:59:04Z,"bollywood,hindi pop,sufi,desi,gujarati garba,lo-fi","T-Series",0.499,0.506,6,-10.45,1,0.0296,0.481,0.00131,0.397,0.255,130.089,4
spotify:track:1pnC5d46tqFwjqGtbjJPn7,"Subhanallah Lofi Mix","Subhanallah Lofi Mix","Pritam;Sreerama Chandra;Shilpa Rao;Kedrock;Sd Style",2022-06-20,199026,60,false,31udz5hatufjptdcf4d52esbfykq,2023-12-01T13:59:04Z,"bollywood,hindi pop,desi,tollywood,lo-fi","T-Series",0.249,0.461,9,-6.897,1,0.0373,0.692,0.00000247,0.249,0.154,79.894,4
spotify:track:5EIFtcs5653Xjgs1gAAB7a,"Pee Loon Lofi Mix","Pee Loon Lofi Mix","Pritam;Mohit Chauhan;Kedrock;Sd Style",2022-06-09,194261,61,false,314eev5tke7rs6llrfjgqok3nuaq,2024-11-26T18:30:11Z,"bollywood,hindi pop,desi,sufi,lo-fi","T-Series",0.322,0.439,8,-6.807,1,0.0441,0.658,0.00000215,0.557,0.423,74.472,4
spotify:track:6udC4b4jOSnHb9ItnXgKLR,"Saibo","Shor in the City (Original Motion Picture Soundtrack)","Sachin-Jigar;Shreya Ghoshal;Tochi Raina",2011-03-28,195253,60,false,314eev5tke7rs6llrfjgqok3nuaq,2025-01-06T00:34:33Z,"gujarati pop,bollywood,hindi pop,desi,gujarati garba,kannada pop,marathi pop,bangla pop,sufi","Sony Music Entertainment India Pvt. Ltd.",0.619,0.429,2,-7.867,1,0.028,0.738,0.0000135,0.136,0.545,90.058,4
spotify:track:5f4CDQSxZJ8GuYdwMdz37V,"Mere Bina - Lofi Flip","Mere Bina (Lofi Flip)","KSW;Nikhil D'Souza;Pritam",2021-10-01,162780,55,false,31udz5hatufjptdcf4d52esbfykq,2023-12-01T13:59:04Z,"lo-fi,bollywood,hindi pop,hindi indie,indian indie,desi","Sony Music Entertainment India Pvt. Ltd.",0.602,0.397,1,-7.724,1,0.0367,0.508,0.00592,0.174,0.105,78.019,4
spotify:track:5Hl7XgfwAbZhynTEBNKro7,"In Dino - Lofi Flip","In Dino (Lofi Flip)","VIBIE;Soham;Pritam;Bollywood Lofi;Sayeed Quadri",2021-08-20,273882,47,false,31udz5hatufjptdcf4d52esbfykq,2023-12-01T13:59:04Z,"lo-fi,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.218,0.387,0,-11.676,1,0.0478,0.9,0.00196,0.172,0.122,168.989,4
spotify:track:2abR4ilhs5JWqZq12SB3GB,"Ek Din Title Track - From ""Ek Din""","Ek Din Title Track (From ""Ek Din"")","Arijit Singh;Ram Sampath;Irshad Kamil",2026-02-23,261818,77,false,31udz5hatufjptdcf4d52esbfykq,2026-03-04T06:17:19Z,"hindi pop,bollywood,desi,bangla pop","Zee Music Company",0.579,0.255,9,-7.936,0,0.0305,0.848,0,0.169,0.351,109.748,4
spotify:track:2hPMMkjM0eSDgsNFfIVSwf,"Kya Meri Yaad Aati Hai (From ""Sky Force"")","Kya Meri Yaad Aati Hai (From ""Sky Force"")","Tanishk Bagchi;Vishal Mishra;Irshad Kamil",2025-01-11,255468,57,false,31udz5hatufjptdcf4d52esbfykq,2025-01-15T16:38:45Z,"bollywood,hindi pop,desi,desi pop,gujarati garba","Saregama India Ltd",0.616,0.575,0,-5.818,1,0.0353,0.606,0,0.122,0.396,128.01,4
spotify:track:1VlaAFoLyWmNH0YrOWx7Eg,"Janam Janam - Lofi Flip","Janam Janam (Lofi Flip)","SPECRO;SKETCH;Arijit Singh;Antara Mitra;Pritam;Bollywood Lofi",2022-06-24,151968,49,false,31udz5hatufjptdcf4d52esbfykq,2023-12-01T13:59:04Z,"lo-fi,hindi pop,bollywood,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.481,0.466,9,-9.933,0,0.0588,0.702,0.0000166,0.381,0.172,80.039,4
spotify:track:6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"")","Pritam;Arijit Singh;Amitabh Bhattacharya",2022-07-17,268164,73,false,314eev5tke7rs6llrfjgqok3nuaq,2025-01-06T00:03:53Z,"bollywood,hindi pop,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.577,0.574,0,-6.525,1,0.0278,0.572,0,0.1,0.436,94.009,4
