Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4qRcjFkFqSpLBzcbLDt7HL,"Ambarsariya","Fukrey","Sona Mohapatra;Ram Sampath;Munna Dhiman",2013-05-14,248182,72,false,juqahuvid6fzn5gszh80ve5pl,2021-10-15T00:34:40Z,"bollywood,desi,hindi pop","T-Series",0.649,0.458,4,-7.632,0,0.0446,0.574,0,0.113,0.748,180.071,4
spotify:track:4fgJe7zBjVXvs8HxtE21Y9,"","","",0000,0,0,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:16:04Z,"","",0.486,0.898,9,-3.791,1,0.171,0.309,0,0.0886,0.648,88.335,4
spotify:track:0xkGTPTijMU84dtHr3KQQi,"","","",0000,0,0,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:16:47Z,"","",0.417,0.433,4,-8.958,1,0.0415,0.0726,0,0.123,0.207,169.92,4
spotify:track:5Gy67YHzPZTk9Q0D73LAGH,"Khamoshiyan (From ""Khamoshiyan"")","Khamoshiyan (From ""Khamoshiyan"")","Jeet Gannguli;Arijit Singh;Rashmi Virag",2014-12-29,335709,60,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:17:10Z,"bangla pop,hindi pop,bollywood,desi","Sony Music Entertainment India Pvt. Ltd.",0.524,0.52,2,-6.838,0,0.0272,0.643,0,0.158,0.259,143.885,3
spotify:track:4bD9z9qa4qg9BhryvYWB7c,"Kabira","Yeh Jawaani Hai Deewani","Pritam;Tochi Raina;Rekha Bhardwaj;Amitabh Bhattacharya",2013-03-30,223459,77,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:17:43Z,"bollywood,hindi pop,desi,sufi,ghazal","T-Series",0.59,0.555,2,-6.861,1,0.0271,0.481,0,0.192,0.191,84.027,4
spotify:track:0GQngE2rOYvlKwEQjTAsP8,"Subhanallah","Yeh Jawaani Hai Deewani","Pritam;Sreerama Chandra;Shilpa Rao;Amitabh Bhattacharya",2013-03-30,249707,75,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:17:49Z,"bollywood,hindi pop,desi,tollywood","T-Series",0.302,0.493,9,-5.038,1,0.0451,0.455,0,0.134,0.457,88.904,4
spotify:track:0pWcUM0z72DhTW7j0fa0QM,"Besabriyaan","M.S.Dhoni - The Untold Story","Armaan Malik;Amaal Mallik;Manoj Muntashir",2016-09-17,255738,63,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:18:37Z,"bollywood,hindi pop,kannada pop,tollywood,desi,bhajan,devotional","T-Series",0.338,0.459,2,-8.827,1,0.027,0.533,0.0000133,0.22,0.32,81.203,4
spotify:track:4jk4CaqBMBbMZhf3PuR1ai,"Phir Kabhi","M.S.Dhoni - The Untold Story","Arijit Singh;Amaal Mallik;Manoj Muntashir",2016-09-17,287422,65,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:18:44Z,"hindi pop,bollywood,desi,bangla pop,bhajan,devotional","T-Series",0.405,0.665,4,-5.498,1,0.0328,0.614,0,0.525,0.404,81.921,4
spotify:track:35RWttZt8zGGzT0mWtlXpn,"Jab Tak","M.S.Dhoni - The Untold Story","Armaan Malik;Amaal Mallik;Manoj Muntashir",2016-09-17,174039,65,false,juqahuvid6fzn5gszh80ve5pl,2021-10-16T20:18:52Z,"bollywood,hindi pop,kannada pop,tollywood,desi,bhajan,devotional","T-Series",0.299,0.447,3,-7.862,0,0.0383,0.858,0.000314,0.097,0.321,121.723,4
spotify:track:6FjbAnaPRPwiP3sciEYctO,"Raabta","Agent Vinod","Pritam;Arijit Singh",2012-02-24,243578,80,false,juqahuvid6fzn5gszh80ve5pl,2021-11-08T00:59:00Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.657,0.581,0,-8.108,1,0.0298,0.699,0.0000182,0.116,0.323,118.037,4
spotify:track:5lrA2NzUxmBjKr2tCZfMtl,"Ik Vaari Aa (From ""Raabta"")","Ik Vaari Aa (From ""Raabta"")","Pritam;Arijit Singh",2017-04-21,274687,64,false,juqahuvid6fzn5gszh80ve5pl,2021-11-08T00:59:10Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.512,0.752,4,-4.857,0,0.0534,0.305,0,0.708,0.428,127.965,4
spotify:track:4wIWWEhbdgKAxhR68eE0Ye,"Mast Magan (From ""2 States"")","Groove With Arijit Singh","Arijit Singh;Chinmayi",2019-05-22,280161,66,false,juqahuvid6fzn5gszh80ve5pl,2021-11-08T00:59:23Z,"hindi pop,bollywood,desi,bangla pop,tamil pop,marathi pop,kollywood,tollywood,telugu pop","T-Series",0.659,0.774,7,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995,4
spotify:track:4OEBP1iwGmLtcM8UKRLm80,"Itni Si Baat Hain (From ""Azhar"")","Ultimate Love Songs - Arijit Singh","Pritam;Arijit Singh;Antara Mitra;Manoj Yadav",2020-05-19,294846,65,false,juqahuvid6fzn5gszh80ve5pl,2021-11-08T00:59:37Z,"bollywood,hindi pop,desi,bangla pop,marathi pop","T-Series",0.56,0.768,2,-4.77,1,0.0655,0.494,0,0.0844,0.289,155.765,4
spotify:track:2zZTXtLqCsICzEcztKjn47,"Tum Hi Ho Bandhu (From ""Cocktail"")","Cocktail","Neeraj Shridhar;Kavita Seth;Pritam",2012-06-12,282012,0,false,juqahuvid6fzn5gszh80ve5pl,2021-11-23T21:33:53Z,"bollywood,desi,hindi pop,hindi indie,indian indie,ghazal,sufi","Eros Now Music",0.714,0.892,11,-5.342,0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,4
spotify:track:48pyUxg9RYuwie5M9R7qRn,"Sooraj Dooba Hain","Roy","Amaal Mallik;Arijit Singh;Aditi Singh Sharma;Kumaar",2015-01-09,264854,73,false,juqahuvid6fzn5gszh80ve5pl,2021-12-13T05:42:31Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.616,0.75,2,-4.629,1,0.0594,0.172,0,0.137,0.434,128.051,4
spotify:track:7hNYvX0qAKrxtVr1jGDmvR,"Gallan Goodiyaan","Dil Dhadakne Do","Yashita Sharma;Manish Kumar Tipu;Farhan Akhtar;Shankar Mahadevan;Sukhwinder Singh",2015-05-02,296500,70,false,juqahuvid6fzn5gszh80ve5pl,2021-12-13T05:48:08Z,"gujarati pop,bollywood,desi,hindi pop,marathi pop,devotional,bhajan,tamil dance","T-Series",0.83,0.858,6,-3.18,0,0.0554,0.134,0.0000172,0.0567,0.949,119.974,4
spotify:track:46elU7IBKWf55D5sjHGqO7,"Dil Dhadakne Do","Zindagi Na Milegi Dobara","Joi Barua;Suraj Jagan",2011-06-06,230318,60,false,juqahuvid6fzn5gszh80ve5pl,2021-12-13T05:49:54Z,"bollywood,hindi pop","T-Series",0.778,0.599,2,-4.758,1,0.032,0.0705,0,0.59,0.949,116.951,4
spotify:track:0zHZSO80CTxNtvtRhveHRJ,"","","",0000,0,0,false,juqahuvid6fzn5gszh80ve5pl,2021-12-13T05:50:18Z,"","",0.63,0.729,6,-4.93,1,0.0287,0.123,0.000008,0.0786,0.44,127.919,4
spotify:track:6s36KDFgCWW4lqDJ0njm7p,"Raat Bhar (From ""Heropanti"")","Groove With Arijit Singh","Arijit Singh;Shreya Ghoshal",2019-05-22,325581,55,false,juqahuvid6fzn5gszh80ve5pl,2021-12-21T16:14:52Z,"hindi pop,bollywood,desi,bangla pop,kannada pop,marathi pop","T-Series",0.619,0.88,1,-4.549,0,0.0535,0.0173,0.00104,0.166,0.392,129.969,4
spotify:track:1NX33DecZrq4ZUGDc47AfN,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Ultimate Love Songs - Arijit Singh","Arijit Singh",2020-05-19,264805,60,false,juqahuvid6fzn5gszh80ve5pl,2021-12-21T16:14:57Z,"hindi pop,bollywood,desi,bangla pop","T-Series",0.566,0.541,10,-5.525,1,0.0306,0.341,0.00000445,0.102,0.31,83.939,4
spotify:track:5cgKosPPj5Cs9a2JQufUc1,"Ilahi","Yeh Jawaani Hai Deewani","Pritam;Arijit Singh;Amitabh Bhattacharya",2013-03-30,228982,76,false,juqahuvid6fzn5gszh80ve5pl,2021-12-21T16:15:05Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.593,0.967,9,-5.767,1,0.0907,0.166,0.0000254,0.105,0.452,131.988,4
spotify:track:1hQia6rxgfM1ly2hE3StWp,"Ishq Wala Love","Student of the Year (Original Motion Picture Soundtrack)","Vishal-Shekhar;Shekhar Ravjiani;Salim Merchant;Neeti Mohan",2012-08-31,257972,76,false,juqahuvid6fzn5gszh80ve5pl,2021-12-21T16:18:11Z,"bollywood,desi,hindi pop,sufi","Sony Music Entertainment India Pvt. Ltd.",0.711,0.295,0,-12.377,0,0.0334,0.534,0.0000451,0.0782,0.694,135.041,4
