Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7y3FOEOFShOO7m6WaYJ895,"Niluvaddham","Nuvvostanante Nenoddantana","Devi Sri Prasad;Karthik;Sumangaly",2005-01-14,357336,65,false,,2023-10-18T06:48:56Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood,kannada pop,malayalam pop,mollywood","Aditya Music (India) Pvt Ltd",0.826,0.637,2,-7.792,1,0.123,0.16,0.00000724,0.0969,0.354,95.029,4
spotify:track:64sbd50f1vddBAYtyRNtSc,"Oka Maaru","Ghajini","Harris Jayaraj;Karthik",2005-10-26,352344,60,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,telugu pop,tamil dance,tollywood,kannada pop,malayalam pop,mollywood","Aditya Music (India) Pvt Ltd",0.786,0.682,0,-7.399,0,0.0325,0.162,0.0000592,0.262,0.861,111.98,4
spotify:track:3I1OX30BRScDpM2ij0Zcia,"Ale Ale","Boys","A.R. Rahman;Karthik;K. S. Chithra;Sivaraman",2003-07-29,385489,57,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,telugu pop,tollywood,kannada pop,malayalam pop,mollywood,tamil dance,devotional,sandalwood","Aditya Music (India) Pvt Ltd",0.516,0.848,10,-7.485,0,0.144,0.0396,0,0.242,0.69,173.916,4
spotify:track:4siD8OfWU2SrxAam41kgpJ,"Arare Arare","Happy Days","Karthik",2010-04-13,299333,59,false,,2023-10-18T06:48:56Z,"telugu pop,tamil pop,tollywood,kollywood,kannada pop,malayalam pop,mollywood,tamil dance","T-Series",0.844,0.373,3,-12.932,1,0.0477,0.351,0.00397,0.152,0.861,125.968,4
spotify:track:5eQYzdcEDOhvJ4ClsUQB3C,"Pachchadanamey","Sakhi","Hariharan;Clinton Cerejo",2000-12-31,361666,63,false,,2023-10-18T06:48:56Z,"bhajan,tamil pop,ghazal,kollywood,devotional,bollywood","Saregama India Ltd",0.536,0.328,1,-18.843,0,0.0647,0.387,0.0000994,0.367,0.546,175.975,4
spotify:track:01uUuX3157r7G90Gb7LKQC,"Apudo Ipudo","Bommarillu","Devi Sri Prasad;Siddharth",2006-08-14,243265,66,false,,2023-10-18T06:48:56Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood","Aditya Music (India) Pvt Ltd",0.88,0.711,7,-9.529,1,0.104,0.0519,0.00201,0.0667,0.819,102.986,4
spotify:track:2Zu9jBaVw9WsjCfQszpeh7,"Manasa","Munna","Harris Jayaraj;Haricharan;Sadhana Sargam;Mahalakshmi Iyer;Naresh Iyer;Krishh",2007-05-07,349653,71,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,telugu pop,tamil dance,tollywood,mollywood,malayalam pop,kannada pop,bollywood,desi","Aditya Music (India) Pvt Ltd",0.864,0.625,9,-6.901,0,0.0417,0.331,0.00000474,0.0831,0.939,100.012,4
spotify:track:7ltuNS5aOKSRwHcwsKHM7k,"Kita Kita Thalupulu","Manasantha Nuvve","R. P. Patnaik;K. S. Chithra",2001-09-01,290586,56,false,,2026-01-23T06:52:39Z,"telugu pop,kannada pop,tollywood,sandalwood,malayalam pop,mollywood,tamil pop,devotional","Aditya Music (India) Pvt Ltd",0.735,0.577,10,-5.38,0,0.0375,0.112,0.0000183,0.445,0.727,99.949,4
spotify:track:6cqdQmDnOzHZEbEgJVEiig,"Preminche Premava","Nuvvu Nenu Prema","A.R. Rahman;Shreya Ghoshal;Naresh Iyer",2006-08-29,354368,61,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,kannada pop,marathi pop,bangla pop,tollywood,telugu pop","Aditya Music (India) Pvt Ltd",0.668,0.736,1,-8.282,1,0.036,0.363,0.00000192,0.179,0.562,141.113,4
spotify:track:2jifr7kk2n8CgccoWu3uFj,"Nijanga Nenena","Kothabangarulokam","Mickey J. Meyer;Karthik;Anantha Sriram",2008-08-30,319164,65,false,,2023-10-18T06:48:56Z,"tollywood,telugu pop,tamil pop,kollywood,kannada pop,malayalam pop,mollywood,tamil dance","Aditya Music (India) Pvt Ltd",0.715,0.464,7,-11.542,1,0.0486,0.844,0.00465,0.0832,0.522,129.93,4
spotify:track:57zEYntUat0ofbFpoicN26,"Uppenantha","Aarya - 2 (Original Motion Picture Soundtrack)","Devi Sri Prasad;KK;Balaji",2009-10-30,327640,68,false,,2023-10-18T06:48:56Z,"telugu pop,tollywood,tamil dance,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.677,0.792,9,-2.612,0,0.133,0.185,0.0000249,0.28,0.849,171.956,4
spotify:track:1nQi9u5z4Tom7zi14SET94,"Naaku Neeku","Aparichithudu","Harris Jayaraj;Kunal Ganjawala;Vasundhara Das",2005-05-28,325212,60,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,telugu pop,tamil dance,tollywood,kannada pop,marathi pop,bangla pop,sandalwood,bollywood","Aditya Music (India) Pvt Ltd",0.823,0.856,9,-5.926,1,0.0684,0.0385,0.000142,0.025,0.688,121.042,4
spotify:track:17NZP2r1BmqfrZdAq0tSCQ,"Panchadaara","Magadheera","M. M. Keeravaani;Anuj Gurwara;Rita Thyagarajan",2009-06-27,287920,65,false,,2023-10-18T06:48:56Z,"telugu pop,tollywood,devotional,tamil pop,kollywood,tamil dance","Aditya Music (India) Pvt Ltd",0.728,0.687,0,-8.393,1,0.055,0.349,0.00981,0.505,0.799,101.027,4
spotify:track:56agypsfbqgbosVlXFCDwD,"Vastha Nee Venuka","Nani","A.R. Rahman;Hariharan;Harini",2004-03-26,333191,61,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,bhajan,ghazal,devotional,telugu pop,tollywood","Aditya Music (India) Pvt Ltd",0.759,0.747,5,-6.603,0,0.0565,0.0301,0.00000132,0.0864,0.582,119.982,4
spotify:track:3zsz1S0ktbj27haJbvOBs2,"Manasantha Nuvve","Manasantha Nuvve","R. P. Patnaik;S.P. Charan;Sujatha",2001-09-01,281051,57,false,,2026-01-23T06:52:39Z,"telugu pop,kannada pop,tollywood,sandalwood,tamil pop,kollywood,malayalam pop,mollywood","Aditya Music (India) Pvt Ltd",0.67,0.621,9,-10.13,0,0.0514,0.318,0.00000145,0.169,0.403,99.956,4
spotify:track:7jCORgBIzaW1fVOp9pWIAd,"Nuvvena","Anand","K M Radhakrishnan;Shreya Ghoshal",2004-07-09,293840,60,false,,2023-10-18T06:48:56Z,"telugu pop,tollywood,bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop","Aditya Music (India) Pvt Ltd",0.433,0.761,6,-4.436,1,0.0644,0.436,0.000266,0.0934,0.708,84.4,4
spotify:track:4fClIbYYWkKyn8aJ2YpHFH,"O Prema","Vaasu","Harris Jayaraj;Devan Ekambaram",2002-03-10,350040,52,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,telugu pop,tamil dance,tollywood","Aditya Music (India) Pvt Ltd",0.689,0.581,11,-8.604,1,0.0555,0.119,0,0.163,0.672,98.991,4
spotify:track:1QEfLSWJEhcLtSIHVYeWLt,"Evare Nuvvu","Rajubhai","Yuvan Shankar Raja;Harris Raghavendra",2007-05-18,250866,65,false,,2023-10-18T06:48:56Z,"tamil pop,kollywood,tamil dance,tollywood,telugu pop","Aditya Music (India) Pvt Ltd",0.813,0.696,10,-6.243,1,0.0363,0.122,0,0.104,0.52,119.96,4
spotify:track:6XbkcFDeIoyIOe2HWoAxBh,"Kailove Chedugudu","Sakhi","Naveen;S.P. Charan",2000-12-31,278306,60,false,,2023-10-18T06:48:56Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood","Saregama India Ltd",0.769,0.252,5,-20.41,0,0.0525,0.00459,0,0.111,0.32,87.987,4
spotify:track:6q5Nau9jmDGyswQjWfxIGt,"Thanemando","Ganesh-New","Mickey J. Meyer;Javed Ali",2009-09-12,254653,52,false,,2023-10-18T06:48:56Z,"tollywood,telugu pop,sufi,bollywood,qawwali,hindi pop,desi,desi pop","Aditya Music (India) Pvt Ltd",0.751,0.497,9,-8.094,1,0.0436,0.668,0.000434,0.171,0.793,120.01,4
spotify:track:0yZoWtXvORwhxnsk4lZII6,"My Heart","Jalsa","Devi Sri Prasad;KK",2008-02-28,298392,62,false,,2023-10-18T06:48:56Z,"telugu pop,tollywood,tamil dance,bollywood,hindi pop,desi","Aditya Music (India) Pvt Ltd",0.843,0.931,9,-8.327,0,0.0951,0.206,0.0000143,0.104,0.767,130.002,4
