Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ZjyKXvQIwalLNmJo3exz3,"Monica (From ""Coolie"") (Telugu)","Monica (From ""Coolie"") (Telugu)","Anirudh Ravichander;Sublahshini;Krishna Kanth",2025-07-11,188505,73,false,31av25p3d5uzshht4dbxqoybeafq,2025-09-01T17:08:06Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,tamil indie","Sun Pictures",0.811,0.798,2,-4.037,1,0.214,0.0644,0.0000684,0.0526,0.586,140.257,4
spotify:track:0iLgVMCi8KCTF9e6QbKvSl,"Prema Velluva (From ""Hit - 3"") (Telugu)","Prema Velluva (From ""Hit - 3"") (Telugu)","Mickey J. Meyer;Sid Sriram;Nutana Mohan;Krishna Kanth",2025-03-24,252000,70,false,31av25p3d5uzshht4dbxqoybeafq,2025-09-01T17:09:43Z,"tollywood,telugu pop,tamil pop,kollywood","Saregama India Ltd",0.491,0.741,0,-8.448,1,0.0454,0.239,0,0.243,0.347,144.832,3
spotify:track:5MrLQeEVCWueDR4XejhFNG,"Bujji Thalli (From ""Thandel"")","Bujji Thalli (From ""Thandel"")","Devi Sri Prasad;Javed Ali;Sreemani",2024-11-21,248825,67,false,31av25p3d5uzshht4dbxqoybeafq,2025-02-19T18:17:09Z,"telugu pop,tollywood,tamil dance,sufi,bollywood,qawwali,hindi pop,desi,desi pop","Aditya Music",0.436,0.604,0,-8.901,0,0.127,0.414,0.000146,0.254,0.676,155.777,3
spotify:track:24wSWZLoKMRZvJVbxHkKMg,"Nuvvunte Chaley (From ""Andhra King Taluka"")","Nuvvunte Chaley (From ""Andhra King Taluka"")","Vivek - Mervin;Anirudh Ravichander;Ram Pothineni",2025-07-18,240101,69,false,31av25p3d5uzshht4dbxqoybeafq,2025-11-30T12:06:01Z,"tamil pop,tamil dance,kollywood,tamil indie,tamil hip hop,tollywood,telugu pop","T-Series",0.336,0.633,8,-7.505,0,0.0514,0.488,0,0.163,0.263,90.03,4
spotify:track:2DjmhfEJojDTDyCepSXn9y,"Suvvi Suvvi (From ""They Call Him OG"")","Suvvi Suvvi (From ""They Call Him OG"")","Thaman S;Sruthi Ranjani;Kalyan Chakravarthy Tripuraneni",2025-08-27,275128,65,false,31av25p3d5uzshht4dbxqoybeafq,2025-10-03T03:15:13Z,"tollywood,telugu pop,tamil pop,tamil dance,kollywood,kannada pop","Sony Music Entertainment India Pvt. Ltd.",0.612,0.501,7,-7.087,0,0.0286,0.875,0.0115,0.0886,0.494,117.003,4
spotify:track:51ZgZSvy6VfmT89POoGwLf,"Aa Seetadevi Navvula","Rowdy Fellow","Arijit Singh",2014-07-28,255876,57,false,31av25p3d5uzshht4dbxqoybeafq,2025-03-31T16:59:57Z,"hindi pop,bollywood,desi,bangla pop","Saregama India Ltd",0.596,0.527,9,-8.49,1,0.0598,0.843,0,0.107,0.405,139.864,4
spotify:track:7f88cYg6oaAaSJMfF2GANl,"Minnalvala","Narivetta (Original Motion Picture Soundtrack)","Jakes Bejoy;Sid Sriram;Sithara Krishnakumar",2025-05-23,299055,64,false,31av25p3d5uzshht4dbxqoybeafq,2025-09-01T17:10:36Z,"malayalam pop,mollywood,malayalam hip hop,tollywood,telugu pop,tamil pop,kollywood","Sony Music Entertainment India Pvt. Ltd.",0.696,0.59,8,-8.724,0,0.0356,0.545,0.000823,0.0985,0.849,126.92,3
spotify:track:2NTpCb0luqbizFWihabC4p,"Koya Koya","Pournamy","Shaan",2006-04-20,307133,4,false,31av25p3d5uzshht4dbxqoybeafq,2023-05-05T15:02:15Z,"bollywood,hindi pop,desi,desi pop,bangla pop","Aditya Music",0.713,0.592,2,-9.187,1,0.234,0.305,0.00000602,0.0583,0.71,150.167,3
spotify:track:14mT8BCOXiUUcGlb7KujkT,"I Think They Call This Love - Cover","I’ll Be Home For Christmas / I Think They Call This Love (Cover)","Matthew Ifield",2024-11-28,196253,78,false,31av25p3d5uzshht4dbxqoybeafq,2026-04-04T15:39:38Z,"","EMI Recorded Music Australia Pty Ltd",0.39,0.556,0,-7.497,0,0.0312,0.68,0.00735,0.0982,0.566,104.457,3
spotify:track:6RNUDvsJ7CwpKRyVdfXLM5,"Neetho Cheppana","Dhairyam","Charan;Shravani",2005-01-03,255311,0,false,31av25p3d5uzshht4dbxqoybeafq,2023-05-05T15:02:34Z,"telugu pop,tollywood,kannada pop","Aditya Music",0.653,0.678,11,-7.293,0,0.244,0.31,0.00000175,0.187,0.658,73.956,4
