Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7CEKMd44xqjr3ViLD3IHwm,"Paruvam Vanaga","Roja","S. P. Balasubrahmanyam;Sujatha",2014-08-01,314955,0,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-06-18T18:41:51Z,"kannada pop,telugu pop,tamil pop,devotional,sandalwood,tollywood,malayalam pop,mollywood","Lahari Music",0.591,0.468,5,-8.084,1,0.0359,0.559,0.0000575,0.143,0.248,61.037,4
spotify:track:4SuPGTvtwdDq9UWXNj8iOd,"Vaalu Kanuladaanaa","Premikula Roju","Unni Menon",1999-12-31,349880,64,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:16:43Z,"tamil pop,malayalam pop,kollywood","Saregama",0.563,0.635,7,-10.059,0,0.0656,0.222,0,0.154,0.392,149.846,3
spotify:track:7jbNMW04ju92tfMsSwIJyi,"Kannullo Nee Roopame","Ninne Pelladatha","Hariharan;K. S. Chithra",1996-12-31,321000,60,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:19:28Z,"bhajan,tamil pop,ghazal,kollywood,devotional,malayalam pop,telugu pop,kannada pop,mollywood,tollywood,sandalwood","T-Series",0.645,0.37,6,-14.58,1,0.0455,0.688,0.0000393,0.121,0.555,90.043,4
spotify:track:4CYSPPTOOQcjg8OHbJsFiH,"Ee Velalo Neevu","Gulabi","Sunitha",1995-02-19,260000,8,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:17:37Z,"telugu pop,tollywood,devotional","Aditya Music",0.38,0.434,7,-7.831,0,0.0366,0.855,0.000102,0.26,0.321,119.801,4
spotify:track:0b7HiR0vRs2gUbwZeJjfN3,"Snehithudaa","Sakhi","Srinivas;Sadhana Sargam",2000-12-31,367160,56,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:26:16Z,"tamil pop,tollywood,kollywood,kannada pop,malayalam pop,bollywood","Saregama India Ltd",0.773,0.261,5,-19.005,0,0.0376,0.26,0.00000804,0.147,0.339,103.98,4
spotify:track:6GgP6NTpwRaokozTVyC6Be,"Yemi Cheyamanduve","Priyuraalu Pilichindi","Shankar Mahadevan",2000-12-31,362240,64,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:18:03Z,"marathi pop,bollywood,devotional,bhajan,desi,tamil dance","Saregama",0.751,0.31,4,-17.405,0,0.157,0.04,0,0.0817,0.392,81.973,4
spotify:track:4E8PDy4xg4IV6iVPUgZ0Kg,"Asalem Gurthukuradhu","Antahpuram","K. S. Chithra",1998-01-14,350000,9,false,31ox3ffg5m3mooxsanjs3gjvplxa,2024-10-28T17:35:06Z,"malayalam pop,telugu pop,kannada pop,mollywood,tollywood,tamil pop,devotional,sandalwood","Aditya Music",0.74,0.64,9,-8.234,1,0.0335,0.24,0.000496,0.116,0.54,126.914,3
spotify:track:7yPeu0DTn2eWgO2FmHCks0,"Nelluri Nerajana","Oke Okkadu","Hariharan;Mahalakshmi Iyer",1999-11-09,404106,4,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:46:46Z,"bhajan,tamil pop,ghazal,kollywood,devotional,bollywood,desi","Aditya Music",0.657,0.61,7,-7.176,1,0.0645,0.172,0.0000718,0.32,0.614,77,4
spotify:track:0pFU6YAwMxz6w4z51oMUI3,"Yeto Vellipoyindi","Ninne Pelladatha","Rajesh Krishnan",1996-12-31,277200,57,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:18:55Z,"kannada pop,sandalwood","T-Series",0.664,0.56,0,-13.209,1,0.1,0.558,0.000194,0.0985,0.553,97.975,4
spotify:track:4M8dRVFWKMfh7hPzGCYxra,"Poovullo Daagunna","Jeans","Unnikrishnan;Sujatha",1999-10-30,415503,5,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:51:40Z,"tamil pop,kollywood,malayalam pop,mollywood,telugu pop","Aditya Music",0.726,0.642,7,-5.683,1,0.0324,0.305,0,0.128,0.368,103.986,4
spotify:track:6XbkcFDeIoyIOe2HWoAxBh,"Kailove Chedugudu","Sakhi","Naveen;S.P. Charan",2000-12-31,278306,60,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:26:40Z,"tamil dance,telugu pop,tollywood,tamil pop,kollywood","Saregama India Ltd",0.769,0.252,5,-20.41,0,0.0525,0.00459,0,0.111,0.32,87.987,4
spotify:track:1lTvxgInVXKh5P6GVWdiOp,"Prema Ane","Premikula Roju","Unni Menon;Swarnalatha",1999-12-31,400626,56,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:16:43Z,"tamil pop,malayalam pop,kollywood,tamil dance","Saregama",0.646,0.49,3,-9.981,0,0.0319,0.0727,0.00000352,0.126,0.614,99.047,4
spotify:track:6yj4cTnIIBcExguYAolnEU,"Telusuna","Sontham","Chitra",2002-07-23,276270,3,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:28:14Z,"bedroom pop,alternative r&b","Aditya Music",0.659,0.501,0,-6.881,0,0.0323,0.375,0.00000463,0.1,0.487,142.927,1
spotify:track:60XXoLRU0MSv0FySnGCN8L,"Greeku Veerudu","Ninne Pelladatha","Sowmya Raoh",1996-12-31,273760,50,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:19:21Z,"kannada pop,bollywood,sandalwood","T-Series",0.467,0.762,9,-12.2,1,0.198,0.202,0.000198,0.0696,0.818,64.066,4
spotify:track:6OlRtuNOOPFcXdBww7A3Sq,"Padavi Datani","Thammudu","Ramana Gogula;Sunitha",1999-07-15,276767,5,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:22:00Z,"telugu pop,tollywood,devotional","Aditya Music",0.661,0.6,7,-5.244,0,0.0342,0.597,0.00000362,0.392,0.647,144.967,4
spotify:track:4K4gYMKbZFMKh4ePHzXTQu,"Vayari Bhama","Thammudu","Ramana Gogula",1999-07-15,316656,3,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:22:43Z,"telugu pop,tollywood","Aditya Music",0.726,0.716,7,-2.973,1,0.0483,0.0766,0,0.103,0.869,169.661,4
spotify:track:6dOYzCglnH2dGFSJR6zcnc,"Manasanta Nuvve","Manasantha Nuvve","S.P. Charan;Sujatha",2001-09-01,281051,1,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:24:49Z,"telugu pop,tollywood,tamil pop,kollywood,malayalam pop,mollywood","Aditya Music",0.67,0.621,9,-10.13,0,0.0514,0.317,0.00000144,0.169,0.402,99.956,4
spotify:track:4nyKlYVc9jykpQC9k0DEnW,"Tooneega","Manasantha Nuvve","Sanjeevini;Usha",2001-09-01,263497,0,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:24:59Z,"telugu pop,tollywood","Aditya Music",0.764,0.849,7,-4.348,1,0.0363,0.114,0.000107,0.225,0.921,94.988,4
spotify:track:0LdTY0ozNj0b7AVfWjKkpx,"Cheppave Prema","Manasantha Nuvve","R. P. Patnaik;Usha",2001-09-01,317805,2,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:25:24Z,"telugu pop,kannada pop,tollywood,sandalwood","Aditya Music",0.502,0.761,9,-3.975,0,0.0485,0.477,0.00000158,0.0934,0.41,94.402,4
spotify:track:1iUimqP9BrIJDq0RaH4upZ,"Udayinchina","Kalusukovalani","Devi Sri Prasad",2002-01-08,321933,3,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:25:43Z,"telugu pop,tollywood,tamil dance","Aditya Music",0.864,0.81,7,-6.796,1,0.136,0.196,0.0000129,0.118,0.83,99.978,4
spotify:track:4Y3HG8mmJYpHN05X7SWWHI,"Devudey Dhigi","Santhosham","KK;Usha",2002-05-09,238571,1,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:39:05Z,"bollywood,hindi pop,desi,telugu pop,tollywood","Aditya Music",0.793,0.919,7,-5.894,1,0.121,0.2,0.0002,0.191,0.533,109.972,4
spotify:track:4EjO3ELtQkbOBox5adad6a,"Feel My Love","Aarya","KK",2004-04-19,299893,4,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:26:56Z,"bollywood,hindi pop,desi","Aditya Music",0.746,0.697,7,-7.693,0,0.0422,0.0144,0.000746,0.167,0.542,99.974,4
spotify:track:7A3HdpivKNGgTW2Bo3udV8,"Nuvvunte","Aarya","Sagar;Sumangaly",2004-04-19,311960,4,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:27:13Z,"telugu pop,tollywood","Aditya Music",0.804,0.623,5,-9.891,0,0.0914,0.022,0,0.0759,0.711,97.963,4
spotify:track:2jRAFRpeDnibcHvtDgWRhG,"Nuvvu Nuvvu","Khadgam","Sumangaly",2002-10-29,333113,6,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:29:25Z,"telugu pop,tollywood","Aditya Music",0.806,0.496,1,-8.548,0,0.0356,0.396,0.0000231,0.0881,0.812,94.994,4
spotify:track:2qpnuHadZJsWolbDNNdM8h,"Aha Allari","Khadgam","Chitra;Raqeeb Alam",2002-10-29,254876,4,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:29:32Z,"bedroom pop,alternative r&b,telugu pop,tollywood","Aditya Music",0.734,0.718,5,-8.537,0,0.097,0.212,0.0000485,0.0629,0.964,80.959,4
spotify:track:6vnND7QAHhtMNQRHihly2t,"Cheliya Cheliya","Kalusukovalani","Devi Sri Prasad;Kalpana Patowary",2002-01-08,293773,2,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:32:27Z,"telugu pop,tollywood,tamil dance,bhojpuri pop,bhojiwood","Aditya Music",0.799,0.635,0,-7.906,1,0.145,0.379,0.0000238,0.0879,0.594,94.993,4
spotify:track:4NugyVw9Of2Z4uyBXf33tX,"Chitti Nadumune","Gudumba Shankar","Mallikarjun;Premgi Amaren",2004-08-09,354716,6,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:32:45Z,"telugu pop,tollywood,devotional,tamil dance,kollywood,tamil pop,tamil hip hop","Aditya Music",0.634,0.844,2,-7.939,1,0.0863,0.0818,0.00639,0.572,0.907,179.871,4
spotify:track:7GRBX2LsuIYGPzjZ9ggnES,"Emantaro","Gudumba Shankar","S.P. Charan;Harini",2004-08-09,378279,4,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:32:51Z,"telugu pop,tollywood,tamil pop,kollywood","Aditya Music",0.499,0.69,5,-7.536,0,0.109,0.0923,0.0000485,0.142,0.434,174.131,4
spotify:track:1ha2Dvv2vVyIbQUBCtbKvQ,"Ye Mera Jaha","Kushi","KK",2001-03-27,312781,51,false,31ox3ffg5m3mooxsanjs3gjvplxa,2022-05-28T17:40:22Z,"bollywood,hindi pop,desi","Aditya Music",0.83,0.936,5,-2.82,0,0.211,0.0174,0.0301,0.0904,0.568,101.044,4
