Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5jVZ2TvUUf1DC9kRA61U3D,"Jaamurathiri","Kshana Kshanam (Original Motion Picture Soundtrack)","M. M. Keeravani;Sirivennela Seetharama Sastry;S. P. Balasubrahmanyam;K. S. Chithra",1991-01-01,301061,60,false,,2024-09-03T05:28:02Z,"telugu pop,tollywood,kannada pop,tamil pop,devotional,sandalwood,malayalam pop,mollywood","Kosmik Music",0.684,0.323,0,-11.553,1,0.189,0.759,0.00515,0.444,0.467,158.344,3
spotify:track:0rTQeRNV44kCFxUx53IJ2x,"Haayi","Haayi","Salim–Sulaiman;Sid Sriram;Anirudh Shandilya Maramraju",2026-01-15,324166,45,false,,2026-02-20T08:00:26Z,"bollywood,sufi,desi,hindi pop,qawwali,tollywood,telugu pop,tamil pop,kollywood,kannada pop,sandalwood,malayalam pop","Merchant Records",0.501,0.545,7,-6.007,1,0.0309,0.471,0,0.0887,0.231,143.99,4
spotify:track:24wSWZLoKMRZvJVbxHkKMg,"Nuvvunte Chaley (From ""Andhra King Taluka"")","Nuvvunte Chaley (From ""Andhra King Taluka"")","Vivek - Mervin;Anirudh Ravichander;Ram Pothineni",2025-07-18,240101,69,false,,2025-09-19T10:21:52Z,"tamil pop,tamil dance,kollywood,tamil indie,tamil hip hop,tollywood,telugu pop","T-Series",0.336,0.633,8,-7.505,0,0.0514,0.488,0,0.163,0.263,90.03,4
spotify:track:6IWD4Vklpj6wHVGaMB89dO,"Challa Gaali Thakuthunna","Yevade Subramanyam","Senthil;Rihitha;Ilaiyaraaja;Ananth Sriram",2015-02-09,248000,57,false,,2026-03-18T11:45:47Z,"telugu pop,tollywood,tamil pop,kollywood","Lahari Music",0.582,0.371,0,-8.783,0,0.0279,0.922,0.000734,0.124,0.423,129.952,4
spotify:track:3Cwhk2vbo3AOqhiG8MQp3s,"Ammadive","Kaantha","Jhanu Chanthar;Pradeep Kumar;Krishna Kanth",2025-08-09,206047,40,false,,2025-12-17T05:43:33Z,"tamil pop,kollywood,tollywood,telugu pop","Aditya Music (India) Pvt Ltd",0.597,0.116,0,-17.152,0,0.0345,0.886,0.0000975,0.17,0.245,134.836,3
spotify:track:5s7RgkBdnvZH9LmaXSchnq,"New York Nagarama","Nuvvu Nenu Prema","A.R. Rahman",2006-08-29,377853,58,false,,2023-07-18T04:50:15Z,"tamil pop,kollywood,bollywood,sufi,hindi pop","Aditya Music (India) Pvt Ltd",0.676,0.732,0,-7.303,1,0.0266,0.327,0.0000891,0.0794,0.547,126.967,4
spotify:track:7y3FOEOFShOO7m6WaYJ895,"Niluvaddham","Nuvvostanante Nenoddantana","Devi Sri Prasad;Karthik;Sumangaly",2005-01-14,357336,65,false,,2023-07-18T04:50:15Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood,kannada pop,malayalam pop,mollywood","Aditya Music (India) Pvt Ltd",0.826,0.637,2,-7.792,1,0.123,0.16,0.00000724,0.0969,0.354,95.029,4
spotify:track:0UtamWoSO1E5UFcfrDNBli,"Sir Osthara","Businessman","Thaman S;Suchitra",2011-12-22,231416,62,false,,2023-11-08T12:11:34Z,"tollywood,telugu pop,tamil pop,tamil dance,kollywood,kannada pop","Aditya Music (India) Pvt Ltd",0.775,0.737,1,-7.979,1,0.0844,0.26,0.329,0.126,0.748,93.027,4
spotify:track:000PqTyXjCLX8OF0VFASGs,"Parichayam Avakunda (From ""Dhandoraa"")","Parichayam Avakunda (From ""Dhandoraa"")","Mark K Robin;Sri Krishna;Harini Ivaturi;Sreemani",2025-12-23,219046,45,false,,2026-02-20T08:00:26Z,"telugu pop,tollywood,devotional","T-Series",0.528,0.374,7,-12.136,1,0.0296,0.775,0.000216,0.0942,0.305,89.975,4
spotify:track:6JhDvJfUCR9G5wnUQZcmjx,"Nidarove Cheliya","Nidarove Cheliya","Krishna Tejasvi;Aditya Yashasvi;Usha Prasanna",2025-02-27,190754,40,false,,2025-10-08T05:35:28Z,"telugu pop,tollywood,devotional","Krishna Tejasvi",0.544,0.209,2,-12.889,1,0.0297,0.895,0.000128,0.135,0.165,106.298,4
