Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Zk5LZcAKwtEigIuQsZP7l,"Yedha Okka Prayamu","Psych Siddhartha","Smaran;Krishna Tejasvi;Ashok Anand",2025-12-25,200067,43,false,,2026-03-05T09:02:03Z,"telugu pop,tollywood","T-Series",0.599,0.289,5,-8.119,1,0.0284,0.948,0.0113,0.0764,0.386,75.021,4
spotify:track:51ZgZSvy6VfmT89POoGwLf,"Aa Seetadevi Navvula","Rowdy Fellow","Arijit Singh",2014-07-28,255876,57,false,,2025-04-14T13:14:28Z,"hindi pop,bollywood,desi,bangla pop","Saregama India Ltd",0.596,0.527,9,-8.49,1,0.0598,0.843,0,0.107,0.405,139.864,4
spotify:track:5fnYbqciSco0Y0uMNilDTt,"Nagumomu Thaarale (From ""Radhe Shyam"")","Nagumomu Thaarale (From ""Radhe Shyam"")","Sid Sriram;Justin Prabhakaran",2021-12-02,294115,55,false,,2022-09-02T08:32:31Z,"tollywood,telugu pop,tamil pop,kollywood,mollywood,malayalam pop","T-Series",0.61,0.399,9,-9.778,1,0.0384,0.479,0,0.105,0.281,129.957,4
spotify:track:5dG3KI5rIUwiUQNNr3Y1to,"Nuvvunte Naa Jathagaa","I - Manoharudu (Original Motion Picture Soundtrack)","A.R. Rahman;Sid Sriram;Issrath Quadhri;Ramajogayya Sastry",2014-12-30,350613,66,false,,2022-09-02T08:32:31Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.45,0.686,0,-4.111,1,0.0361,0.126,0,0.147,0.208,78.973,4
spotify:track:6rcCn2P4aStaUetsDy3Npg,"Tai Tai Tai","Patang","Jose Jimmy;Shakthisree Gopalan;Sreemani",2025-12-21,268027,39,false,,2026-01-05T05:30:29Z,"telugu pop,tollywood,tamil pop,kollywood","T-Series",0.718,0.285,9,-10.971,1,0.0324,0.66,0.109,0.082,0.506,95.009,4
spotify:track:16RigX2qPBrjju5ddZv1X6,"Ninnu Chuse Anandamlo","Gang Leader (Original Motion Picture Soundtrack)","Anirudh Ravichander;Sid Sriram;Anantha Sriram",2019-09-05,293000,58,false,,2021-05-18T09:57:44Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.68,0.729,5,-5.008,0,0.0486,0.249,0.0000135,0.115,0.412,139.959,4
spotify:track:3Rr2iovbWm9jY03oWmPtTn,"Sada Nannu","Mahanati","Mickey J. Meyer;Charulatha Mani",2018-04-20,197589,59,false,,2022-09-02T08:32:31Z,"tollywood,telugu pop,tamil dance,tamil pop,kollywood","Aditya Music (India) Pvt Ltd",0.535,0.484,9,-9.691,1,0.04,0.759,0.00814,0.0686,0.455,173.946,4
spotify:track:5AHEkJZ2RmgSLx3w7bRttv,"Naalo Neene","It's Ok Guru (Original Motion Picture Soundtrack)","Lakshmi Priyanka;Ranjith",2025-12-11,252911,16,false,,2026-01-27T11:14:07Z,"telugu pop,tollywood","Madhura Audio",0.536,0.483,4,-9.983,1,0.0295,0.507,0.00116,0.101,0.273,158.024,4
spotify:track:2fPppuLH5Ib1x0F2BXJ19f,"Maate Vinadhuga","Taxiwaala","Jakes Bejoy;Sid Sriram",2018-10-26,296220,70,false,,2021-05-18T09:57:44Z,"malayalam pop,mollywood,malayalam hip hop,tollywood,telugu pop,tamil pop,kollywood","Aditya Music (India) Pvt Ltd",0.631,0.584,11,-9.382,0,0.0543,0.219,0,0.166,0.498,159.967,4
spotify:track:5s7RgkBdnvZH9LmaXSchnq,"New York Nagarama","Nuvvu Nenu Prema","A.R. Rahman",2006-08-29,377853,58,false,,2022-09-02T08:32:31Z,"tamil pop,kollywood,bollywood,sufi,hindi pop","Aditya Music (India) Pvt Ltd",0.676,0.732,0,-7.303,1,0.0266,0.327,0.0000891,0.0794,0.547,126.967,4
spotify:track:0L0Dsl1GQEToluRJexhC43,"Yenti Yenti","Geetha Govindam","Gopi Sundar;Chinmayi",2018-07-10,199200,62,false,,2021-05-18T09:57:44Z,"mollywood,malayalam pop,tollywood,telugu pop,tamil pop,marathi pop,kollywood,bollywood","Aditya Music (India) Pvt Ltd",0.742,0.54,2,-6.732,1,0.0457,0.223,0.000223,0.0888,0.485,75.021,4
spotify:track:4L1x42K4MYwWL0xgm5rand,"Don't Know Why (From ""Magic"")","Don't Know Why (From ""Magic"")","Anirudh Ravichander;worldofaugust;Krishna Kanth",2025-02-14,224028,29,false,,2025-02-14T14:01:52Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Aditya Music",0.473,0.467,0,-8.889,1,0.0284,0.623,0.0000281,0.229,0.451,138.917,3
spotify:track:2kW6AMK99mnEO6X01r2E3T,"Kadalalle (From ""Dear Comrade"")","Kadalalle (From ""Dear Comrade"")","Sid Sriram;Aishwarya Ravichandran;Justin Prabhakaran;Rehman",2019-05-15,260992,61,false,,2024-09-03T05:41:55Z,"tollywood,telugu pop,tamil pop,kollywood,mollywood,malayalam pop","T-Series",0.575,0.296,7,-9.379,1,0.0257,0.848,0.00000119,0.209,0.502,97.902,4
spotify:track:6UGklMOti1kY7zl9po1WEH,"Ela (From ""Sopathulu"")","Ela (From ""Sopathulu"")","Manisha Eerabathini;Sinjith Yerramilli;Kittu Vissapragada",2024-09-09,228224,23,false,,2024-09-10T05:46:22Z,"tollywood,telugu pop","Aditya Music",0.565,0.264,2,-11.596,1,0.0302,0.755,0.0000811,0.135,0.466,99.905,4
spotify:track:6I8FegdCnZT274IiOTybQH,"Vellipomaake","Saahasam Swaasaga Saagipo","A.R. Rahman;Sid Sriram;ADK",2016-05-22,261368,71,false,,2022-09-02T08:32:31Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,tollywood,telugu pop,tamil hip hop,tamil indie","Aditya Music (India) Pvt Ltd",0.355,0.736,9,-5.952,0,0.0544,0.0961,0,0.135,0.229,98.19,3
spotify:track:4IXvddnjRVwgZ62EnWR6dy,"Laalijo Raagam","Saripodhaa Sanivaaram (Original Motion Picture Soundtrack)","Jakes Bejoy;Madhura Dhara Talluri;Sanapati Bharadwaj Patrudu",2024-08-28,261314,34,false,,2024-08-28T12:46:30Z,"malayalam pop,mollywood,malayalam hip hop,tollywood,telugu pop,tamil pop,kollywood","Sony Music Entertainment India Pvt. Ltd.",0.55,0.513,7,-11.538,1,0.0351,0.264,0.0335,0.123,0.243,163.909,4
spotify:track:2obOMYEyuBydAa7NURdsPL,"Baitikochi Chuste","Agnyaathavaasi","Anirudh Ravichander",2017-11-07,206666,66,false,,2021-05-18T09:57:44Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Aditya Music (India) Pvt Ltd",0.579,0.443,6,-6.197,0,0.0695,0.582,0,0.136,0.641,89.726,4
