Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1GIsnE71uUtWvGpvnJCTXO,"Best Day Of My Life","Best Day of My Life","Tom Odell",2022-10-28,146895,70,true,,2026-01-09T13:51:16Z,"","UROK",0.685,0.188,10,-13.18,1,0.035,0.984,0.00315,0.107,0.102,117.914,4
spotify:track:3BnqXLIouQrCtUljR1cGru,"Nothing Else","Snow","Angus & Julia Stone",2017-09-15,263995,60,false,,2026-01-09T13:51:16Z,"","[PIAS] Le Label",0.712,0.303,1,-13.833,0,0.0382,0.889,0.0178,0.103,0.39,123.972,4
spotify:track:2wVd7pvX8gbYTVOOL4eKjJ,"Cold Feet","Cold Feet","Callinsick",2021-12-10,200173,35,false,,2026-01-09T13:51:16Z,"","Callinsick",0.588,0.739,0,-9.578,0,0.0516,0.593,0.674,0.0896,0.314,99.949,4
spotify:track:4ROHGNbd9HjDclib6xvS5N,"Masterpiece - solo","Dandelion","Big Thief",2016-09-02,240954,51,false,,2026-01-09T13:51:16Z,"","4AD",0.513,0.184,4,-8.583,1,0.039,0.878,0,0.116,0.232,130.104,4
spotify:track:4I1MhYsQQ71wkE5DiCWw5T,"Stolen Seasons","Goodbye to the Valley Low (Side A)","Hazlett",2023-12-08,181130,59,false,,2026-01-09T13:51:16Z,"indie folk","Nettwerk Music Group",0.663,0.212,10,-14.012,1,0.0265,0.833,0.204,0.116,0.32,97.998,4
spotify:track:7mDgx8aONzvoKw0Ckx3wF7,"Sugar Water","At The Beach, In Every Life","Gigi Perez",2025-04-25,303698,67,false,,2026-01-09T13:51:16Z,"","Outtahere, LLC / Island Records",0.461,0.457,11,-8.323,1,0.0252,0.505,0.00000579,0.116,0.351,92.461,4
spotify:track:7MIMNleq34UeRnlLRdPpGY,"The Woods - Acoustic","The Woods (Acoustic)","Hollow Coves",2017-07-14,239960,67,false,,2026-01-09T13:51:16Z,"indie folk","Nettwerk Music Group",0.568,0.558,9,-8.553,1,0.0278,0.724,0.000331,0.116,0.287,104.991,4
spotify:track:2ASaiQWWIhao3cniyiwItc,"You and I","The Day My Father Died","SYML;Charlotte Lawrence",2023-02-03,193133,62,false,,2026-01-09T13:51:16Z,"","Nettwerk Music Group",0.724,0.272,5,-10.275,1,0.0273,0.909,0,0.0924,0.43,99.926,4
spotify:track:1z75CRovSzKUOpYbrV4Fuo,"Olalla","On the Other Side","Blanco White",2020-06-05,248160,70,false,,2026-01-09T13:51:16Z,"indie folk","Yucatan Records",0.577,0.404,0,-11.954,0,0.0378,0.655,0.458,0.123,0.385,129.863,4
spotify:track:6FCN6p3Iq6LBWC4Cx4KgXE,"More To This","More To This","Marc Scibilia",2024-02-02,171504,57,false,,2026-01-09T13:51:16Z,"","Good Lander Records",0.599,0.538,0,-7.678,0,0.0275,0.62,0.0000829,0.0884,0.653,97.973,4
spotify:track:44alNkXsYnTyPnkMdohBcx,"Bloom (Online Bonus Track)","Woodland","The Paper Kites",2011-07-01,209816,63,false,,2026-01-09T13:51:16Z,"indie folk","The Paper Kites",0.581,0.421,1,-9.792,1,0.0245,0.894,0.000491,0.119,0.433,95.969,4
spotify:track:2oUkMuFYBhdBmMsLLkE0Uy,"Purple","Nothing to Lose","Hollow Coves",2024-03-01,265962,52,false,,2026-01-09T13:51:16Z,"indie folk","Nettwerk Music Group",0.592,0.67,7,-7.472,1,0.0256,0.123,0.0819,0.0911,0.394,108.005,4
spotify:track:1nHKI4L5pWrN5CUvW07nHP,"Let Her Go (feat. Ed Sheeran) - Anniversary Edition","All The Little Lights (Anniversary Edition)","Passenger;Ed Sheeran",2023-11-10,256986,69,false,,2026-01-09T13:51:16Z,"folk pop,soft pop","Nettwerk Music Group",0.495,0.488,6,-6.94,1,0.0359,0.593,0.00000121,0.327,0.333,72.588,4
spotify:track:566yEfNfBoojymRCZRbkxU,"howling","howling","mehro",2021-09-22,213720,35,false,,2026-01-09T13:51:16Z,"","Heroine Music Group LLC",0.496,0.335,4,-11.137,1,0.0347,0.891,0.439,0.113,0.207,75.96,4
spotify:track:6AmrRS8slCMxGUZePjV6dH,"Resin","Resin","Dustin Tebbutt",2020-08-28,203939,57,false,,2026-01-09T13:51:16Z,"indie folk","Dustin Tebbutt",0.259,0.373,1,-12.925,0,0.0275,0.895,0.181,0.118,0.196,83.295,4
spotify:track:7oOEFDLSQscl0uGulnIEmG,"Love & Hate","Love & Hate","Michael Kiwanuka",2016-07-15,427093,71,false,,2026-01-09T13:51:16Z,"soul","Polydor Records",0.278,0.494,7,-7.853,0,0.029,0.157,0.000407,0.173,0.527,169.661,4
spotify:track:0mnWNvwXRNu82bpfi2rsuz,"San Luis","Evening Machines","Gregory Alan Isakov",2018-10-05,272346,74,false,,2026-01-09T13:51:16Z,"indie folk,folk,folk pop","Dualtone Music Group",0.568,0.434,7,-12.755,0,0.0347,0.861,0.259,0.115,0.257,82.5,4
spotify:track:4HOKq0bN93FsAhtZ5Wdq3y,"Long Blue Light","Long Blue Light","Leif Vollebekk",2020-11-10,200173,69,false,,2026-01-09T13:51:16Z,"","Secret City Records",0.568,0.483,9,-9.12,1,0.0297,0.53,0.0972,0.183,0.508,142.52,4
spotify:track:1QJnDJuYOGj05iSc4eWGr5,"Fever To The Form","First Mind","Nick Mulvey",2014-05-12,252960,67,false,,2026-01-09T13:51:16Z,"","Fiction",0.358,0.546,0,-8.927,0,0.0296,0.795,0.0586,0.111,0.264,106.489,3
spotify:track:4BrGYhbT975hwXXPBUqXNY,"Girl - Acoustic","Girl","SYML",2018,211881,62,false,,2026-01-09T13:51:16Z,"","Nettwerk Music Group",0.413,0.272,1,-11.568,1,0.0317,0.945,0.0271,0.112,0.354,109.687,4
spotify:track:0ZNYGrmcehorhh9JOeg5Iv,"Stay Alive - From ""The Secret Life of Walter Mitty"" Soundtrack","Stay Alive (From The Secret Life Of Walter Mitty)","José González",2013-01-01,266906,71,false,,2026-01-09T13:51:16Z,"indie folk","The Secret Life of Walter Mitty",0.714,0.306,6,-12.111,1,0.0388,0.726,0.168,0.0924,0.314,129.984,4
spotify:track:6v2NgEbmGFOulY74emLe6u,"The Life","The Life","Marc Scibilia",2023-01-19,146873,38,false,,2026-01-09T13:51:16Z,"","Tone Tree Music / Good Lander Records",0.572,0.475,5,-10.574,1,0.0934,0.787,0,0.383,0.535,119.692,4
spotify:track:1UX01mLr9tdZoOatFpo1t0,"More","More","Gatton",2023-07-21,222567,37,false,,2026-01-09T13:51:16Z,"christian lo-fi,christian r&b","Gatton",0.719,0.305,11,-11.645,1,0.0325,0.789,0.000115,0.0939,0.478,125.093,4
spotify:track:7wRijQK8vRmGLK0RYW7Vr1,"Quietly Yours","Persuasion (Soundtrack from the Netflix Film)","Birdy",2022-07-15,234156,59,false,,2026-01-09T13:51:16Z,"","Netflix Music",0.306,0.35,1,-14.263,1,0.0674,0.837,0.00266,0.114,0.276,154.43,4
