Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:54ABL1JLniXU05wUsyLolp,"Coastline","Coastline","APE;Queen D",2025-11-28,146000,39,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-11-27T23:03:19Z,"","Blue Lines Records",0.72,0.787,6,-8.052,0,0.137,0.883,0.117,0.142,0.418,120.052,4
spotify:track:7waPnxxuXOKCe4AvNkwNaK,"Wake up","Wake up","Luca",2026-03-20,188444,32,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-20T08:00:50Z,"","placide record",0.69,0.933,6,-6.744,0,0.179,0.399,0.0486,0.121,0.398,135.012,4
spotify:track:4KJRLW9Ayae1w1Di69WyxA,"Drowning","Drowning","Luey",2026-01-30,203170,35,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-02-04T14:55:04Z,"melodic house,tropical house","Crosswalk Records",0.626,0.757,9,-10.745,1,0.0475,0.189,0.0586,0.118,0.155,123.003,4
spotify:track:3u8tIYpLZPSni3qaEaaRLU,"Chasing Love","Chasing Love","Avi Snow;Zeeba;Peter Guzman",2026-01-02,198688,40,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-01-16T11:00:30Z,"afro house","Spinnin' Records",0.66,0.806,10,-10.453,1,0.0395,0.178,0.401,0.123,0.494,121.988,4
spotify:track:6DUoSZfPiO6XdSg1QZXJc0,"Your Favorite Song","Your Favorite Song","APE;Astrid James",2025-07-25,161031,37,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-09-01T15:10:49Z,"","Blue Lines Records",0.773,0.781,0,-5.97,1,0.054,0.723,0.00125,0.11,0.228,120.047,4
spotify:track:7MStpKz6w6a7Kq0QR7QTu0,"i think i'm addicted","i think i'm addicted","oskar med k;Haley Joelle",2025-11-28,158520,82,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-01-16T10:58:45Z,"stutter house","7CULT / Haley Joelle",0.874,0.666,8,-8.566,0,0.175,0.691,0.478,0.289,0.496,125.029,4
spotify:track:3v6k8wgo5p3ffMDeRJkfmo,"Last Night","Hybride","TOOTIMES",2025-11-28,286398,20,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-03T10:24:51Z,"tropical house","M2P RECORD / BOUQUET GARNI",0.74,0.632,0,-4.413,1,0.04,0.000497,0.853,0.358,0.518,124,4
spotify:track:2G20U3tSRbNCGA225iWbx7,"Let Me Come To Life - Sasson Remix","Let Me Come To Life (Sasson Remix)","Klangkarussell;Sasson (FR)",2026-01-09,257704,40,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-01-16T10:57:34Z,"afro house,afro tech","Bias Beach Records",0.805,0.85,8,-7.489,1,0.0403,0.0000479,0.836,0.138,0.313,121.987,4
spotify:track:6Y4P3hCVoZi5nj8ZydH5K8,"'O purtuallo (l'orange)","'O purtuallo (l'orange)","Luca",2025-10-17,216954,26,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-02-27T16:17:42Z,"","placide record",0.723,0.855,10,-10.433,0,0.06,0.0607,0.347,0.176,0.562,125.016,4
spotify:track:1Vrs62N0t96yDyEnHEKfNX,"For Two","For Two","APE;oliver.",2025-06-27,174000,33,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-06-27T09:29:05Z,"afro house","Blue Lines Records",0.618,0.912,5,-4.984,1,0.04,0.00379,0.0538,0.057,0.482,120.019,4
spotify:track:5lkns7grxl5HmRuq8KPw50,"So Alive","So Alive","May Zoean",2025-11-21,229625,60,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-11-27T13:51:16Z,"afro house","Boom Records LLC",0.518,0.622,1,-8.967,0,0.0324,0.516,0.146,0.175,0.0716,122.016,4
spotify:track:2xViUhAClyjbplv7AybBD8,"Brasilia - Extended Version","Brasilia (Extended Version)","Astúria;tanguy cimalando",2026-02-19,224000,26,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-02-19T15:50:36Z,"afro house,afro tech","UML Records",0.287,0.801,7,-8.582,0,0.0447,0.00158,0.836,0.111,0.316,161.95,5
spotify:track:0J32M4Uc5qVhKwCvdDbACb,"Higher - Notre Dame Remix","Higher (Notre Dame Remix)","BLOND:ISH;Black Circle",2025-10-15,238777,52,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-11-10T14:30:57Z,"afro house,techengue,latin house,melodic house,afro tech","Insomniac Records",0.608,0.773,7,-6.682,0,0.0433,0.000395,0.771,0.0951,0.401,123.945,4
spotify:track:0ahHVJFLlqPKHB0c1HsBgu,"Paradise","Hybride","TOOTIMES",2025-11-28,195614,21,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-03T10:24:40Z,"tropical house","M2P RECORD / BOUQUET GARNI",0.798,0.747,5,-6.723,0,0.0939,0.00619,0.153,0.0465,0.634,121.01,4
spotify:track:0nUNBjxKbK3gHUlxGwoGPG,"Need You Now","Need You Now","APE;Zak Abel",2025-02-21,181597,1,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-04-04T14:29:26Z,"","Blue Lines Records",0.669,0.669,9,-5.543,1,0.0501,0.3,0.00000161,0.128,0.506,115.013,4
spotify:track:4S2n7E3tuGb5mmp6HjJ4Nd,"05 AM - Domani","Expectasis","Joe Lewandowski;Protopapa",2025-12-12,209693,26,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-12-12T13:39:05Z,"indie dance,italo disco,italo dance","Amsem Records",0.697,0.859,2,-6.682,1,0.0799,0.0122,0.701,0.117,0.796,117.993,4
spotify:track:6F6okywpwC6zonnrPmHYlr,"Keep On","Keep On","Valentine Groove;Alara Oz",2025-06-20,155207,20,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-02-16T16:12:05Z,"","Amsem Records",0.749,0.686,10,-7.493,1,0.0553,0.00112,0.142,0.0461,0.695,126.998,4
spotify:track:1XE8ciTlD0sAsrCGH8wNUV,"Just Music","Hybride","TOOTIMES",2025-11-28,202500,20,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-03T10:24:47Z,"tropical house","M2P RECORD / BOUQUET GARNI",0.736,0.732,1,-6.318,0,0.0689,0.00137,0.92,0.164,0.919,123.958,4
spotify:track:6WAx8NDZE4V1EW7nCAU7tt,"Feeling (Hold On You)","Feeling (Hold On You)","Rules;MURPHY",2026-02-18,216969,68,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-10T12:01:05Z,"deep house,stutter house","Counter Records",0.79,0.628,9,-7.988,0,0.0789,0.454,0.0229,0.229,0.789,126.079,4
spotify:track:1nHQdojhIIJmYgCIemppW9,"She's in my Head","She's in my Head","APE;William Singe",2023-04-21,179986,5,false,31vmnpimf5b2suz5hhig7jx6iuwq,2025-04-04T14:29:36Z,"","Blue Lines Records",0.769,0.602,10,-8.021,1,0.0708,0.34,0.00841,0.0922,0.374,120.089,4
spotify:track:2VH53PCZpxCiFCkIuiTosJ,"UNFOLDING - Extended version","UNFOLDING (Extended version)","Niksu",2025-12-05,382500,21,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-10T15:44:31Z,"","PLDR",0.765,0.978,5,-6.413,0,0.0477,0.011,0.866,0.043,0.57,128.007,4
spotify:track:44rRmtDv7RYrRGOiOaBir1,"Beach - Turquoise","Beach (Turquoise)","Eemeli Repo",2026-03-13,213246,27,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-16T13:20:42Z,"","Lilya Records",0.831,0.621,6,-11.076,1,0.0553,0.0839,0.852,0.104,0.174,117.99,4
spotify:track:0s1euNPEqHayJA8Yw8MUwh,"Beacon - Curol Remix Edit","Beacon (Curol Remix)","Monolink;Curol",2026-03-13,216393,53,false,31vmnpimf5b2suz5hhig7jx6iuwq,2026-03-16T13:12:26Z,"melodic techno,melodic house,techno,afro house,latin house,afro tech,tribal house","Embassy One",0.737,0.814,7,-10.567,0,0.0426,0.121,0.595,0.159,0.0457,122.01,4
spotify:track:4LDEGhVW8t3iO3D7VIttfa,"TOUCH ME (ALL NIGHT LONG)","TOUCH ME (ALL NIGHT LONG)","CŒUR ACIDE",2026-04-02,195840,12,true,31vmnpimf5b2suz5hhig7jx6iuwq,2026-04-07T12:08:00Z,"","toucan sounds",0.567,0.966,1,-2.312,1,0.0494,0.000453,0.00000104,0.364,0.613,125.007,4
