Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:24Yi9hE78yPEbZ4kxyoXAI,"Roses - Imanbek Remix","Roses (Imanbek Remix)","SAINt JHN;Imanbek",2019-10-09,176840,77,true,q8b2bytmwsys1em6fxp6v9b2m,2021-06-18T23:20:13Z,"slap house","Columbia/B1 Recordings",0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4
spotify:track:7fZBQnc0zXwVybgCIrQQil,"Belly Dancer","Belly Dancer","Imanbek;BYOR",2022-02-18,151475,79,false,q8b2bytmwsys1em6fxp6v9b2m,2023-01-28T02:02:23Z,"slap house","Musical Freedom",0.845,0.797,1,-4.984,1,0.139,0.0582,0.00000557,0.167,0.422,121.985,4
spotify:track:7yAmvnQ1YN6wvORHa1bvaE,"Where Have You Been","Where Have You Been","Sherman de Vries",2022-06-10,149000,59,false,q8b2bytmwsys1em6fxp6v9b2m,2022-08-20T01:26:21Z,"","Seal Network",0.623,0.857,9,-7.733,1,0.0497,0.00583,0.002,0.343,0.364,119.928,4
spotify:track:3BKD1PwArikchz2Zrlp1qi,"Baby Don't Hurt Me","Baby Don't Hurt Me","David Guetta;Anne-Marie;Coi Leray",2023-04-06,140017,80,false,q8b2bytmwsys1em6fxp6v9b2m,2023-07-21T23:01:41Z,"edm","Parlophone UK",0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,4
spotify:track:7v4U1UWo5FHd70GRRgzz8c,"2 Times","2 Times","Dimitri Vegas;Steve Aoki;Ann Lee;Sound Of Legend",2024-10-04,132800,62,false,q8b2bytmwsys1em6fxp6v9b2m,2025-08-19T19:53:31Z,"electronica,big room,electro house,edm,eurodance","Columbia/B1 Recordings",0.806,0.91,5,-3.197,1,0.177,0.0944,0.000122,0.0528,0.356,74.983,4
spotify:track:1bJRd2ey6ER7neSxZwYdAG,"Kisses (feat. bbyclose)","Kisses (feat. bbyclose)","BL3SS;CamrinWatsin;bbyclose",2024-03-22,138246,23,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:27:25Z,"","SIGNAL >> SUPPLY",0.793,0.779,9,-4.609,0,0.0581,0.279,0.000311,0.314,0.687,142.002,4
spotify:track:59NraMJsLaMCVtwXTSia8i,"Prada","Prada","cassö;RAYE;D-Block Europe",2023-08-11,132359,83,true,q8b2bytmwsys1em6fxp6v9b2m,2023-11-23T23:46:55Z,"hypertechno,grime,uk drill","Ministry of Sound Recordings",0.638,0.717,8,-5.804,1,0.0375,0.001,0.00000179,0.113,0.422,141.904,4
spotify:track:2aQpISWUBToaF84DDiTeRV,"Be My Lover (feat. La Bouche) - 2023 Mix","Be My Lover (feat. La Bouche) [2023 Mix]","Hypaton;David Guetta;La Bouche",2023-04-21,169523,75,false,q8b2bytmwsys1em6fxp6v9b2m,2023-10-14T01:38:07Z,"edm,eurodance,europop","NITRON music",0.589,0.973,8,-5.317,1,0.0426,0.0347,0.000945,0.45,0.115,126.003,4
spotify:track:3AjSfp5FDvwtMU9XBsbS8j,"Push Up - Main Edit","Push Up (Main Edit)","Creeds",2023-03-31,139300,78,false,q8b2bytmwsys1em6fxp6v9b2m,2024-03-07T23:18:06Z,"techno,hypertechno,hard techno,tekno","Columbia/B1 Recordings",0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,4
spotify:track:2USlegnFJLrVLpoVfPimKB,"Thunder","Thunder","Gabry Ponte;LUM!X;Prezioso",2021-05-07,160000,79,false,q8b2bytmwsys1em6fxp6v9b2m,2024-03-23T04:25:33Z,"italo dance,slap house,melbourne bounce","Spinnin' Records",0.67,0.896,1,-4.673,1,0.058,0.0342,0.0000321,0.344,0.403,101.216,3
spotify:track:0iB5f04XdJ2tcfhoVkeLV8,"LET'S GET FKD UP","LET'S GET FKD UP (feat. Tribbs)","Alok;Mondello'G;CERES;Tribbs",2023-11-17,121500,77,true,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T22:14:43Z,"brazilian bass,electronic,slap house,electro house,hypertechno,techno","Columbia/B1 Recordings",0.65,0.946,10,-5.454,1,0.0421,0.00191,0.127,0.149,0.425,160.027,4
spotify:track:04R4oiYD4NU6ZkdwlaJSep,"Bad Memories - Felix Jaehn Remix","Bad Memories (Felix Jaehn Remix)","MEDUZA;James Carter;Felix Jaehn;Elley Duhé;FAST BOY",2022-10-14,149565,65,false,q8b2bytmwsys1em6fxp6v9b2m,2023-05-01T00:50:54Z,"tropical house","Universal-Island Records Ltd.",0.667,0.815,1,-7.401,1,0.19,0.031,0.0361,0.0349,0.394,138.057,4
spotify:track:3fTCdHDRMd8j4lnICiEVgy,"Closer","Closer","Sherman de Vries;Navaro;Brenda Mullen",2024-03-15,144440,53,false,q8b2bytmwsys1em6fxp6v9b2m,2024-03-23T04:26:06Z,"","satilated.",0.582,0.698,6,-4.714,0,0.0765,0.385,0,0.486,0.449,150.278,4
spotify:track:5Axl2Rjg3wOC3JHju1Gess,"Freestyler (Rock The Microphone)","Freestyler (Rock The Microphone)","Lost Frequencies;Bomfunk MC's",2024-09-20,174000,67,false,q8b2bytmwsys1em6fxp6v9b2m,2025-08-19T19:53:31Z,"tropical house,eurodance","Epic Amsterdam",0.768,0.902,11,-4.858,0,0.0849,0.00971,0.637,0.212,0.717,159.957,3
spotify:track:7MIhUdNJtaOnDmC5nBC1fb,"Deep Down (feat. Never Dull)","Deep Down (feat. Never Dull)","Alok;Ella Eyre;Kenny Dope;Never Dull",2022-06-17,165714,75,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T22:01:40Z,"brazilian bass,electronic,slap house,electro house,disco house,funky house,jazz house,nu disco,lo-fi house","Columbia/B1 Recordings",0.687,0.818,0,-4.221,1,0.0778,0.0112,0,0.248,0.886,125.952,4
spotify:track:3GiORO0zRwRT3g9CCklzkQ,"It's That Time - FISHER Remix","It's That Time (FISHER Remix)","Marlon Hoffstadt;FISHER",2024-06-21,171717,73,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:19:24Z,"hard house,eurodance,techno,tech house,house","Method 808, distributed by gamma.",0.865,0.978,0,-4.29,1,0.0471,0.00136,0.381,0.0766,0.936,130.008,4
spotify:track:3bK1zVFBKIzYjmptmI4NsJ,"Overdrive (feat. Norma Jean Martine)","Overdrive (feat. Norma Jean Martine)","Ofenbach;Norma Jean Martine",2023-10-06,155905,78,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:48:29Z,"","Elektra France",0.611,0.757,6,-3.546,1,0.03,0.00257,0,0.058,0.279,126.963,4
spotify:track:20Y4EAmSXru3foatDg4OqN,"LET'S GO","LET'S GO","Jaden Bojsen;Sami Brielle",2024-07-05,193091,74,true,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T22:01:40Z,"","ALT:Vision Records",0.8,0.715,1,-6.79,0,0.0861,0.016,0.545,0.122,0.597,128.997,4
spotify:track:48lxT5qJF0yYyf2z4wB4xW,"Pedro","Pedro","Jaxomy;Agatino Romero;Raffaella Carrà",2024-03-29,144562,76,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T23:20:01Z,"","Columbia/B1 Recordings/Ultra Records",0.788,0.936,9,-6.294,1,0.301,0.0229,0.0000013,0.311,0.844,151.019,4
spotify:track:20P82kYdAcCHvgAPZqtlwN,"Impossible","Impossible","BALD;Maeva Carter",2025-12-12,169411,36,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:38:45Z,"big room","satilated.",0.548,0.844,0,-7.368,0,0.0435,0.0445,0.00758,0.432,0.183,169.994,4
spotify:track:5OFVzqSeFxGpvDGyHvVeLj,"It's Not Right But It's Okay","It's Not Right But It's Okay","Mr. Belt & Wezol",2024-02-23,152304,81,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T23:20:01Z,"future house,house","Sony Music Entertainment",0.755,0.86,5,-4.811,0,0.0523,0.0144,0.00000747,0.344,0.618,128.004,4
spotify:track:0uozQLMcUNdbVHfwHqEE7I,"Blame","Blame","Febration;Rivas",2026-01-23,152884,39,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:38:31Z,"","satilated.",0.731,0.888,0,-2.908,0,0.0993,0.0288,0.00000374,0.159,0.325,129.994,4
spotify:track:0lwyzp7GppQxv0Eu6wRkUo,"Satisfaction","Satisfaction","David Guetta;Benny Benassi",2022-08-12,155676,72,false,q8b2bytmwsys1em6fxp6v9b2m,2024-03-23T04:25:58Z,"edm,electro house","Spinnin' Records",0.752,0.935,11,-6.263,1,0.203,0.0742,0.0352,0.081,0.31,126.022,4
spotify:track:6pb5DtlAeG95dNQLHiArRU,"Rock My Body","Rock My Body (with INNA & Sash!)","R3HAB;INNA;Sash!",2023-04-28,137419,72,false,q8b2bytmwsys1em6fxp6v9b2m,2024-02-05T04:02:12Z,"slap house,edm,europop,eurodance","Spinnin' Records",0.662,0.821,2,-4.103,0,0.13,0.202,0,0.522,0.47,124.077,4
spotify:track:4nCwPQHEpr7GgUHLUxVNou,"Seven Nation Army","Seven Nation Army","DJ Fluke;Jaki Nelson",2021-01-22,156309,69,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:56:12Z,"electro house","Dancing Dead",0.689,0.832,4,-4.248,0,0.0443,0.00694,0.11,0.0885,0.276,125.97,4
spotify:track:5TV7JnCTbwPD6yIVVFJrLb,"Turn The Lights Off","Turn The Lights Off","Justė;Jaxstyle;Jon",2025-11-07,162717,81,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:29:12Z,"","Spinnin' Records",0.569,0.961,1,-4.353,0,0.0883,0.0231,0.000197,0.342,0.375,138.151,4
spotify:track:6GomT970rCOkKAyyrwJeZi,"Move Your Body","Move Your Body","Öwnboss;Sevek",2021-10-29,157444,75,false,q8b2bytmwsys1em6fxp6v9b2m,2023-06-24T16:15:39Z,"","Musical Freedom",0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,4
spotify:track:0pKrBsBo4Bz5M8GhWy19pr,"Scream And Shout","Scream And Shout","BALD;Audiosonik",2025-09-12,155870,40,true,q8b2bytmwsys1em6fxp6v9b2m,2025-10-03T15:40:51Z,"","satilated.",0.588,0.929,0,-4.919,1,0.0844,0.00556,0.00524,0.566,0.584,150.09,4
spotify:track:20McUFi8KCIVdNDLrkTDuZ,"Goosebumps","Goosebumps","HVME",2020-06-12,163020,68,true,q8b2bytmwsys1em6fxp6v9b2m,2021-06-18T23:20:13Z,"slap house","Columbia/B1 Recordings",0.767,0.659,1,-7.429,1,0.0444,0.325,0,0.13,0.439,124.946,4
spotify:track:4ClVzfSYEea03HjEoDYOX3,"Sweet Nothing - 2025 Edit","Sweet Nothing (2025 Edit)","D.O.D;Calvin Harris;Florence Welch",2025-08-22,202176,72,false,q8b2bytmwsys1em6fxp6v9b2m,2026-02-17T21:19:24Z,"house,edm","Columbia",0.501,0.965,8,-4.711,0,0.0455,0.00185,0.174,0.145,0.402,130.037,4
