Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0OPyDgTRuIdCJ9B4bYSths,"Hotel Room Service","Pitbull Starring In Rebelution","Pitbull",2009-08-31,237600,74,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:11:44Z,"","Mr.305/Polo Grounds Music/J Records",0.85,0.631,1,-8.401,1,0.227,0.00684,0.000406,0.0679,0.738,126.002,4
spotify:track:5rZlwNFl01HqLWBQGryKSm,"Mood Swings (feat. Lil Tjay)","Shoot For The Stars Aim For The Moon","Pop Smoke;Lil Tjay",2020-07-03,213333,60,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:11:51Z,"brooklyn drill,new york drill,drill,melodic rap","Victor Victor Worldwide",0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,4
spotify:track:1tkg4EHVoqnhR6iFEXb60y,"What You Know Bout Love","Shoot For The Stars Aim For The Moon","Pop Smoke",2020-07-03,160000,61,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:11:54Z,"brooklyn drill,new york drill,drill","Victor Victor Worldwide",0.709,0.548,10,-8.493,1,0.353,0.65,0.00000159,0.133,0.543,83.995,4
spotify:track:0PxQ3XPc2VFePSGr6mmyhv,"Unapologetic","Unapologetic","dani perez;leo maneo",2025-10-15,98999,38,false,haffagaffa,2025-11-24T00:49:31Z,"","Nostalgic Records",0.511,0.638,10,-5.519,0,0.0351,0.185,0.0000303,0.119,0.628,157.083,4
spotify:track:5rb9QrpfcKFHM1EUbSIurX,"Yeah! (feat. Lil Jon & Ludacris)","Confessions (Expanded Edition)","USHER;Lil Jon;Ludacris",2004-03-23,250373,88,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:11:57Z,"r&b,crunk,southern hip hop","LaFace Records",0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
spotify:track:5D2mYZuzcgjpchVY1pmTPh,"Candy Shop","The Massacre","50 Cent;Olivia",2005-03-03,209106,83,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:01Z,"old school hip hop,east coast hip hop","Aftermath/Shady",0.613,0.574,11,-7.961,1,0.467,0.0253,0.0000313,0.38,0.755,125.18,5
spotify:track:26rdOwwjC2UnweK3xeS58u,"GDFR (feat. Sage the Gemini & Lookas)","My House","Flo Rida;Sage The Gemini;Lookas",2015-04-07,190185,76,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:04Z,"hyphy,edm trap,future bass,dubstep","Poe Boy/Atlantic",0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,4
spotify:track:7nyAUI0xzaxCtE1HXdcqpn,"Keep It Low","Keep It Low","404BABY",2025-10-15,149959,38,true,haffagaffa,2025-11-24T00:50:36Z,"","Nostalgic Records",0.669,0.64,1,-5.807,1,0.0623,0.00848,0,0.406,0.465,119.996,4
spotify:track:61QSuw5VlC0LTS8WMO356g,"All The Way Up (feat. Infared)","All The Way Up (feat. Infared)","Fat Joe;Remy Ma;French Montana;InfaRed",2016-03-02,191942,61,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:08Z,"east coast hip hop","RNG / EMPIRE / Plata O Plomo",0.536,0.721,10,-6.44,0,0.386,0.062,0,0.824,0.393,117.139,5
spotify:track:228BxWXUYQPJrJYHDLOHkj,"Gasolina","Barrio Fino (Bonus Track Version)","Daddy Yankee",2004-07-13,192600,13,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:12Z,"reggaeton,latin","Gasolina Recording Co.",0.852,0.797,0,-6.543,1,0.0614,0.322,0.00000269,0.0845,0.741,96.008,4
spotify:track:7yn5DOQnBNkTSFS11Gs6B3,"Can't let go","Lost in the Club","Vozol",2025-11-12,208199,24,false,haffagaffa,2025-11-30T18:38:17Z,"","Nostalgic Records",0.668,0.577,7,-7.186,0,0.0748,0.198,0.139,0.136,0.319,127.269,4
spotify:track:6LcauUZjF1eXQrgqMUecHX,"Ayy Macarena","Ayy Macarena","Tyga",2019-11-13,131606,66,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:28Z,"","Columbia/Last Kings Records",0.816,0.629,2,-5.568,1,0.226,0.133,0,0.0692,0.714,96.493,4
spotify:track:0O45fw2L5vsWpdsOdXwNAR,"SexyBack (feat. Timbaland)","FutureSex/LoveSounds","Justin Timberlake;Timbaland",2006-09-12,242733,88,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:33Z,"","Jive",0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,4
spotify:track:4bM76rICH21d0LssB9vvrN,"Escape With Me","Escape With Me","dani perez;leo maneo",2025-10-15,134960,30,false,haffagaffa,2025-11-24T00:51:42Z,"","Nostalgic Records",0.674,0.789,9,-6.848,0,0.0415,0.0798,0.000105,0.247,0.293,144.009,4
spotify:track:3ZSoSXyfO7klvH3AW5Oaex,"Faded","MIDNIGHT TO SIX","404BABY",2025-12-01,264879,27,false,haffagaffa,2025-12-02T17:49:11Z,"","Nostalgic Records",0.786,0.677,9,-8.392,1,0.043,0.193,0.0000134,0.129,0.63,125.056,4
spotify:track:58q2HKrzhC3ozto2nDdN4z,"I Like It","Invasion of Privacy","Cardi B;Bad Bunny;J Balvin",2018-04-06,253390,85,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:38Z,"reggaeton,trap latino,latin,urbano latino","Atlantic/KSR",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
spotify:track:1FB5ufWn3JA26KUuaM5RFG,"My Heart","Lost in the Club","Vozol",2025-11-12,223319,22,false,haffagaffa,2025-11-30T18:38:12Z,"","Nostalgic Records",0.722,0.687,7,-7.687,0,0.0687,0.0469,0.0222,0.256,0.0792,127.08,3
spotify:track:4ipnJyDU3Lq15qBAYNqlqK,"Mi Gente","Mi Gente","J Balvin;Willy William",2017-06-30,189440,71,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:41Z,"reggaeton,latin","UMLE - Latino",0.774,0.687,11,-4.818,0,0.0584,0.0179,0.0000117,0.128,0.308,104.959,4
spotify:track:7CHi4DtfK4heMlQaudCuHK,"Lose Control","Lose Control","MEDUZA;Becky Hill;Goodboys",2019-10-11,168387,72,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:45Z,"","Intercord",0.598,0.527,10,-8.659,0,0.0415,0.129,0,0.14,0.53,123.943,4
spotify:track:7DOY05Rq6GnUWK41gksfTn,"Move It","MIDNIGHT TO SIX","404BABY",2025-12-01,147119,22,false,haffagaffa,2025-12-02T17:49:06Z,"","Nostalgic Records",0.773,0.813,1,-7.117,1,0.041,0.0739,0.108,0.0449,0.52,130.091,4
spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"Goosebumps - Remix","Goosebumps (Remix)","Travis Scott;HVME",2021-01-15,162802,76,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:49Z,"rap,slap house","Cactus Jack/Epic",0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,4
spotify:track:7iL6o9tox1zgHpKUfh9vuC,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,85,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:54Z,"old school hip hop,east coast hip hop","Shady Records",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4
spotify:track:63aj87TQG6F3RVO5nbG2VQ,"In Da Getto","In Da Getto","J Balvin;Skrillex",2021-07-02,131065,65,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:12:59Z,"reggaeton,latin,dubstep,edm,electro,electronic","Sueños Globales, LLC",0.915,0.72,8,-3.126,1,0.0459,0.025,0.0000142,0.0942,0.631,126.986,4
spotify:track:0LilcvPRRRpluOLBgytJKP,"Rasputin","Rasputin (Remixes)","Majestic;Boney M.",2021-06-25,186209,40,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:19Z,"disco","NITRON music",0.758,0.913,6,-2.926,0,0.113,0.00364,0.0000692,0.193,0.658,128.04,4
spotify:track:5WyD2lZhEeTNg91oEF0TYK,"Blue (Da Ba Dee)","Blue (Da Ba Dee)","MELON;Steve Void;Dance Fruits Music",2021-07-02,132479,53,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:22Z,"deep house,slap house","Fruits Music",0.772,0.871,1,-4.267,1,0.0389,0.0938,0.248,0.097,0.323,124.975,4
spotify:track:0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack","Tokyo Drift (Fast & Furious)","Teriyaki Boyz",2006-01-01,255946,78,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:25Z,"","Universal (MT)",0.757,0.892,6,-5.321,1,0.124,0.178,0.0000419,0.0719,0.936,127.014,4
spotify:track:4kLLWz7srcuLKA7Et40PQR,"I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,289133,86,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:40Z,"","Interscope",0.744,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.966,4
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira;Wyclef Jean",2005-11-28,218093,21,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:43Z,"latin pop","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Shakira;Freshlyground",2010-05-07,202626,10,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:46Z,"latin pop,afro soul,afropop,dubstep","Epic",0.766,0.873,11,-6.381,0,0.143,0.00627,0,0.0764,0.743,126.988,4
spotify:track:3C0nOe05EIt1390bVABLyN,"On The Floor","Love?","Jennifer Lopez;Pitbull",2011-04-29,284866,85,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:50Z,"","Nuyorican Productions / IDJ",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4
spotify:track:2cZrrQMjB63c0iIugYH9zS,"Rain Over Me (feat. Marc Anthony)","Planet Pit (Deluxe Version)","Pitbull;Marc Anthony",2011-06-17,231573,80,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:53Z,"salsa,merengue,bachata,latin,latin pop","Mr.305/Polo Grounds Music/J Records",0.61,0.906,0,-2.117,1,0.0648,0.00416,0,0.758,0.294,127.916,4
spotify:track:7qzgHrqG8FgzgPIfBE23Bw,"Mr. Saxobeat","Dance Mania 2011","Alexandra Stan",2019-02-26,193146,49,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:13:57Z,"europop","Dance Mania",0.718,0.93,4,-4.169,0,0.0529,0.0298,0.000158,0.136,0.787,126.989,4
spotify:track:6DXLO8LndZMVOHM0wNbpzg,"Danza Kuduro","Meet The Orphans","Don Omar;Lucenzo",2010-01-01,198786,81,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:14:00Z,"reggaeton,urbano latino,kuduro","UMLE - Machete",0.7,0.917,0,-4.897,1,0.115,0.0773,0,0.065,0.888,130.04,4
spotify:track:7cDTMKiqcYuDW17GihxJEy,"Go Off","MIDNIGHT TO SIX","404BABY",2025-12-01,174919,20,false,haffagaffa,2025-12-02T17:49:06Z,"","Nostalgic Records",0.617,0.894,6,-7.082,0,0.0351,0.00815,0.0634,0.615,0.237,129.994,4
spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Nayer)","Planet Pit (Deluxe Version)","Pitbull;AFROJACK;Ne-Yo;Nayer",2011-06-17,252306,90,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:14:04Z,"edm,big room","Mr.305/Polo Grounds Music/J Records",0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,"Temperature","The Trinity","Sean Paul",2005-09-27,216320,87,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:14:08Z,"dancehall","VP Records",0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4
spotify:track:5wsu92lD7Is6uxZQ6xbLMl,"Diamond Life","MIDNIGHT TO SIX","404BABY",2025-12-01,167759,18,false,haffagaffa,2025-12-02T17:49:13Z,"","Nostalgic Records",0.686,0.803,11,-6.072,0,0.0346,0.0184,0.00000141,0.888,0.63,125.983,4
spotify:track:0TAqFXlM8W0Y5SXZPXPHno,"Hurricane","Hurricane","dani perez",2016-05-26,144100,30,false,haffagaffa,2025-11-30T18:40:24Z,"","Nostalgic Records",0.551,0.728,9,-7.828,1,0.0531,0.101,0,0.563,0.292,131.045,4
spotify:track:7AehuHNfgaNS5VNud3kjFi,"Midnight Move","MIDNIGHT TO SIX","404BABY",2025-12-01,187799,19,false,haffagaffa,2025-12-02T17:49:12Z,"","Nostalgic Records",0.716,0.789,7,-7.238,1,0.0347,0.00368,0.0000153,0.102,0.313,125.012,4
spotify:track:5iqrbO0fhuLMiy9tYGanv6,"C'est La Vie","C'est La Vie","Khaled",2012-05-17,225751,68,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:14:11Z,"raï","Cz Sounds Rec.",0.616,0.933,0,-3.762,0,0.0513,0.0259,0,0.359,0.806,129.952,4
spotify:track:6OufwUcCqo81guU2jAlDVP,"Love Tonight (Edit)","Love Tonight","Shouse",2017-12-14,241970,68,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:14:25Z,"","Hell Beach",0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,4
spotify:track:1CmUZGtH29Kx36C1Hleqlz,"Thrift Shop (feat. Wanz)","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis;Macklemore;Ryan Lewis;Wanz",2013-01-14,235613,69,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:14:38Z,"g-funk,west coast hip hop","Macklemore",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
spotify:track:5nujrmhLynf4yMoMtj8AQF,"Levitating (feat. DaBaby)","Future Nostalgia","Dua Lipa;DaBaby",2020-03-27,203064,85,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:15:19Z,"pop","Warner Records",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)","B4 The Storm","Internet Money;Gunna;Don Toliver;NAV",2020-08-28,195428,4,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:15:25Z,"melodic rap","Internet Money Records/ TenThousand Projects",0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,4
spotify:track:7lRp0mTu0oAaN3avFuouoQ,"X - Spanglish Version","X (Spanglish Version)","Nicky Jam;J Balvin",2018-04-27,172128,50,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:15:30Z,"reggaeton,latin","Sony Music Latin",0.658,0.721,9,-3.803,0,0.0699,0.00217,0.000396,0.341,0.677,180.033,4
spotify:track:11EnQRgRMJwMAesfkB5pnu,"Se Te Nota (with Guaynaa)","Se Te Nota (with Guaynaa)","Lele Pons;Guaynaa",2020-09-02,155825,70,false,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:15:46Z,"reggaeton","Shots Studios & Music/10:22pm/Interscope Records",0.905,0.686,0,-3.152,1,0.0664,0.0907,0,0.266,0.963,103.013,4
spotify:track:3HDlwg6z28yt6gQ3gbHayb,"Paid","MIDNIGHT TO SIX","404BABY",2025-12-01,192239,18,false,haffagaffa,2025-12-02T17:49:08Z,"","Nostalgic Records",0.753,0.73,9,-7.304,1,0.051,0.00189,0.0000585,0.3,0.47,129.988,4
spotify:track:0QIjsbm2fh1cJ45XO9eGqq,"Wake Up in the Sky","Wake Up in the Sky","Gucci Mane;Bruno Mars;Kodak Black",2018-09-14,204664,75,true,31mnch4ke74gbnp2fbnt6wqqhzhm,2021-11-10T21:16:01Z,"southern hip hop,rap,trap","Guwop Enterprises/Atlantic",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,4
