Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:32jsCtPZqjnAZjfh35bP0j,"I Find Peace","In the Echoes, I Find Peace","Adrien de la Salle",2026-03-06,135174,53,false,htwp48du5dgrsqs76p588z6gk,2026-03-06T05:01:32Z,"","Moderna Records",0.423,0.0303,1,-31.379,0,0.0424,0.994,0.937,0.0932,0.234,79.346,4
spotify:track:5PP7hyp5wsSF2o5sNsn2BX,"Solace","Solace","Thomas Klak",2026-01-09,133232,43,false,htwp48du5dgrsqs76p588z6gk,2026-01-19T22:39:04Z,"","Aemeralds GmbH",0.29,0.0658,1,-24.585,1,0.0396,0.958,0.952,0.107,0.23,76.343,1
spotify:track:6J5eKdQ9OSQgNU8CwCYKKf,"Northern Lights","Northern Lights","Alexis Ffrench",2023-09-29,175640,0,false,htwp48du5dgrsqs76p588z6gk,2023-09-30T03:31:41Z,"neoclassical","Sony Classical",0.343,0.019,9,-25.178,0,0.0415,0.995,0.877,0.0726,0.157,140.158,4
spotify:track:3ZHWMWKuufyYuWAlgNwF6F,"Fragility","Fragility","Jordane Tumarinson",2026-01-29,173000,46,false,htwp48du5dgrsqs76p588z6gk,2026-01-30T21:24:11Z,"neoclassical","Naive",0.338,0.0434,5,-24.422,1,0.0361,0.98,0.924,0.115,0.165,95.984,4
spotify:track:6tBrdgPu8Pko0hi2Bf2j0e,"ouessant (piano)","ouessant (piano)","Jean-Michel Blais",2022-11-18,272574,20,false,htwp48du5dgrsqs76p588z6gk,2022-11-18T20:17:45Z,"neoclassical","Arts & Crafts Productions Inc.",0.285,0.138,4,-25.822,0,0.0411,0.988,0.933,0.109,0.0917,129.308,4
spotify:track:17XNFLFmolqojlFDPuxjHx,"In the Echoes","In the Echoes","Adrien de la Salle",2026-01-30,205370,48,false,htwp48du5dgrsqs76p588z6gk,2026-01-30T05:58:56Z,"","Moderna Records",0.302,0.0225,3,-32.626,1,0.0487,0.988,0.941,0.102,0.111,69.345,3
spotify:track:0e5tO8LgQanNk9NZsM4ebT,"no more us","no more us","Edvard Kravchuk",2026-01-09,127810,37,false,htwp48du5dgrsqs76p588z6gk,2026-01-15T21:29:33Z,"","Edvard Kravchuk under exclusive license to Amuseio AB",0.432,0.0571,0,-34.026,1,0.0365,0.991,0.938,0.0801,0.533,97.759,4
spotify:track:6Mwo1URPXr9gf1lSSnlrtd,"La vague des sentiments","L'Espérance","Vivian Roost",2023-09-15,194694,39,false,htwp48du5dgrsqs76p588z6gk,2023-09-14T18:02:43Z,"classical piano","Pianoramix",0.325,0.0289,6,-25.228,0,0.0423,0.993,0.929,0.101,0.266,87.21,4
spotify:track:25r7c49FlnWiXRXVYr9u3g,"Your Tenderness","Poetry Without Words","Richard Goldsworthy",2025-11-07,184480,35,false,htwp48du5dgrsqs76p588z6gk,2025-11-13T23:40:22Z,"","Richard Goldsworthy",0.471,0.00771,3,-28.273,1,0.048,0.995,0.939,0.0884,0.359,65.335,4
spotify:track:0Jvu0aCLG0GRSALktMcsHO,"Flying","Flying","Holly Jones",2025-03-28,161836,39,false,htwp48du5dgrsqs76p588z6gk,2025-03-29T19:43:21Z,"","Sonder House",0.391,0.0411,0,-25.36,1,0.0427,0.992,0.937,0.133,0.137,83.397,4
spotify:track:2DYmemGNB8OS1teuJ2NdrJ,"Scars We Left - Piano Solo","Scars We Left","Adrien de la Salle;Francois Mathian",2025-10-10,171000,48,false,htwp48du5dgrsqs76p588z6gk,2025-10-10T04:02:34Z,"neoclassical,electronic classical","Adrien de la Salle and Francois Mathian",0.375,0.0314,0,-30.873,0,0.0424,0.994,0.913,0.0828,0.18,75.079,4
spotify:track:2MaTFGZP0cNhGBBfUI3Tsy,"Midnight Sun of Lofoten","Midnight Sun of Lofoten","John Vegard Schow;Two Colours",2025-10-10,149674,43,false,htwp48du5dgrsqs76p588z6gk,2025-10-13T01:37:19Z,"","MakeMusic.no",0.469,0.0413,0,-22.407,0,0.0355,0.984,0.932,0.122,0.221,57.463,4
spotify:track:4RFTcuZJ3o8J24qKTNfKgK,"Une simple mélodie","Il était une fois Polnareff","Alexandra Streliski",2024-04-05,162266,37,false,htwp48du5dgrsqs76p588z6gk,2024-04-07T15:28:47Z,"neoclassical","BMG Rights Management France SARL",0.285,0.0752,7,-22.897,0,0.04,0.976,0.945,0.126,0.0906,64.515,4
spotify:track:4lMooIvBeSuJUw6QNHBnh9,"For Franz (After Schwanengesang, D. 957: No. 4, Ständchen)","A Quiet Tribute","Adrien de la Salle;Franz Schubert",2025-06-20,275687,34,false,htwp48du5dgrsqs76p588z6gk,2025-06-19T21:18:48Z,"chamber music,classical,classical piano","Moderna Records",0.427,0.00917,2,-29.224,1,0.0577,0.995,0.955,0.103,0.0991,77.752,4
spotify:track:2V3pCZhlTRa4KD0DLGZbv1,"it's all good","it's all good","Holly Jones",2026-02-20,159383,41,false,htwp48du5dgrsqs76p588z6gk,2026-02-21T00:19:53Z,"","Sonder House",0.336,0.0269,5,-26.435,1,0.0453,0.986,0.925,0.083,0.158,125.934,4
spotify:track:46ywcbUcqCgPT2A2fx92v7,"Odyssey Music","Odyssey Music","Stephan Moccio",2024-08-09,208440,34,false,htwp48du5dgrsqs76p588z6gk,2024-08-21T18:53:59Z,"","Decca (UMO) (Classics)",0.233,0.0491,4,-25.885,0,0.043,0.983,0.918,0.108,0.113,71.678,3
spotify:track:3Gc8wsTS666PcMm3QLeY6D,"Heban","Songs about Time","Sebastian Zawadzki",2020-03-01,139776,26,false,htwp48du5dgrsqs76p588z6gk,2026-03-28T16:39:03Z,"neoclassical","Sebastian Zawadzki Music",0.392,0.0211,7,-27.395,1,0.0376,0.99,0.909,0.111,0.264,121.06,4
