Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:51vxIDnFJOzotXLQTrwV29,"Present Memory","Present Memory","Køsk Skriner",2025-08-17,156000,67,false,,2026-03-19T15:17:59Z,"","Chill Palm",0.46,0.0425,7,-25.354,1,0.0345,0.918,0.878,0.107,0.0769,69.985,4
spotify:track:06mrX3LFC65jmule6OhXrC,"Hidden Treasure","Hidden Treasure","Starstrum",2025-04-27,136824,66,false,,2026-03-19T15:17:59Z,"","Chill Palm",0.452,0.113,2,-27.363,1,0.039,0.929,0.917,0.097,0.0644,147.759,4
spotify:track:49ROoo6OTD33xLWZPeh3Kl,"Velvet","Velvet","The Dawning",2025-09-19,162745,66,false,,2026-03-19T15:17:59Z,"","The Dawning",0.556,0.0756,4,-30.687,1,0.0302,0.971,0.914,0.098,0.152,74.06,4
spotify:track:5nioi5Jwzu1ErjdrOLl8r9,"Starbloom","Starbloom","August Sands",2025-04-25,141266,65,false,,2026-03-19T15:17:59Z,"","August Sands",0.405,0.0303,4,-31.247,1,0.028,0.996,0.938,0.15,0.275,69.994,4
spotify:track:74d5BwGv2aVkTTEWcThDH7,"More","More","Veda Orion",2025-07-09,141689,65,false,,2026-03-19T15:17:59Z,"","Veda Orion",0.5,0.0598,6,-25.353,1,0.0318,0.972,0.902,0.108,0.203,70.988,4
spotify:track:2nuZoD3ERht1tiGXEF07ID,"Arena","Arena","Ember Nova",2025-09-19,165522,65,false,,2026-03-19T15:17:59Z,"","Ember Nova",0.568,0.0793,9,-27.652,1,0.0332,0.882,0.811,0.0952,0.0393,73.022,4
spotify:track:4NaokS7WwvNDq1tIozGscA,"Echo Branches","Echo Branches","Astral Voyager",2025-11-28,145714,66,false,,2026-03-19T15:17:59Z,"","Astral Voyager",0.59,0.111,10,-21.797,0,0.0331,0.972,0.846,0.114,0.135,139.848,4
spotify:track:5o4nq8COdxn8JSiiRDlBEm,"tiny window","tiny window","Ólafur Apollo",2025-07-25,141428,65,false,,2026-03-19T15:17:59Z,"","Ólafur Apollo",0.302,0.00973,3,-33.624,0,0.0353,0.97,0.845,0.0831,0.11,139.85,4
spotify:track:2CEVNvULlba5346DGSjcmc,"Immersive","Immersive","Tom Kalani",2025-10-10,120433,64,false,,2026-03-19T15:17:59Z,"","Tom Kalani",0.441,0.037,5,-30.344,1,0.0319,0.981,0.925,0.106,0.381,138.005,4
spotify:track:0rItgiypLLHcnnukNt5IlP,"Dream Big","Dream Big","Aiden Archer",2025-03-28,134158,64,false,,2026-03-19T15:17:59Z,"","Aiden Archer",0.368,0.0535,1,-28.428,1,0.0307,0.916,0.85,0.132,0.13,67.997,4
spotify:track:36qXv23TgwXtXefaLIBt17,"Timeless Space","Timeless Space","Richome",2025-05-02,135810,64,false,,2026-03-19T15:17:59Z,"dark ambient","Score a Score",0.263,0.0826,2,-24.91,1,0.0349,0.896,0.772,0.101,0.17,142.308,4
spotify:track:03VSAx4NPQO6zu2NYSj8Ie,"Eclosion","Eclosion","Lumen Atlas",2025-05-22,131721,64,false,,2026-03-19T15:17:59Z,"","Lumen Atlas",0.649,0.0404,11,-23.164,0,0.0418,0.973,0.844,0.111,0.185,106.028,4
spotify:track:2dD53mHfjyGg6o856Di1OK,"Walking on Air","Walking on Air","Auðura",2025-02-21,126740,64,false,,2026-03-19T15:17:59Z,"","Auðura",0.345,0.0369,6,-26.86,1,0.0336,0.937,0.721,0.111,0.0477,71.844,4
spotify:track:1o2B11JGTHszFYPeJ7iEY6,"Bonamico","Bonamico","Lucky Lorry",2025-07-04,134794,63,false,,2026-03-19T15:17:59Z,"","Lucky Lorry",0.385,0.146,4,-25.727,1,0.0377,0.978,0.964,0.106,0.107,72.96,3
spotify:track:0HgUXqHkrnXpbBRcYQFPMT,"Solar Mass","Solar Mass","Rhyaene",2025-01-09,126041,63,false,,2026-03-19T15:17:59Z,"","Rhyaene",0.485,0.0419,2,-25.274,1,0.0391,0.948,0.895,0.0883,0.0794,71.971,4
spotify:track:5z89Y6sZVh0YfGGcoiVDjN,"Let's Go","Let's Go","Eden",2025-04-11,129408,63,false,,2026-03-19T15:17:59Z,"","Eden",0.436,0.022,3,-29.427,0,0.0405,0.916,0.893,0.112,0.118,68.994,4
spotify:track:7Izr4elXjEeNUeCRWYwp8q,"Shade","Shade","Astra",2025-08-01,138780,63,false,,2026-03-19T15:17:59Z,"","Astra",0.411,0.0299,7,-29.254,0,0.0287,0.968,0.927,0.105,0.203,141.897,4
spotify:track:6Vm8ycKvqU6R266SrfTEcZ,"Walk On Air","Walk On Air","Antonio Roberto",2025-07-06,129729,63,false,,2026-03-19T15:17:59Z,"","Chill Palm",0.593,0.236,2,-23.654,1,0.0371,0.966,0.913,0.111,0.221,148.005,4
spotify:track:1JFqiEuQBfq2HLC38wb8zQ,"Cascades","Cascades","Ciel",2025-06-29,154304,63,false,,2026-03-19T15:17:59Z,"","Chill Palm",0.565,0.0943,1,-23.863,0,0.0405,0.978,0.883,0.111,0.185,69.013,4
spotify:track:0vPgX6WTIRv4vBarEt2LAB,"Something","Something","Apollo Vision",2025-09-19,152269,62,false,,2026-03-19T15:17:59Z,"","Apollo Vision",0.546,0.0797,6,-28.039,1,0.0332,0.974,0.906,0.0836,0.209,136.034,4
spotify:track:0kcF8qz4dhmKXrXcAdHoCi,"Equatorial Pulse","Equatorial Pulse","novi quiet",2025-09-05,145760,62,false,,2026-03-19T15:17:59Z,"","novi quiet",0.601,0.0782,0,-22.95,1,0.0357,0.99,0.892,0.107,0.166,70.975,4
spotify:track:5wn3Yn6qABKHC4UX61w4P6,"Endless Horizon","Endless Horizon","AtmoLife",2025-08-15,130636,62,false,,2026-03-19T15:17:59Z,"","AtmoLife",0.308,0.0278,2,-28.039,1,0.0308,0.933,0.824,0.0818,0.0434,69.87,4
spotify:track:7DVL2cNWqKHs4Pw0R60JKu,"Aether","Aether","Stillhaven",2025-11-14,140000,62,false,,2026-03-19T15:17:59Z,"","Stillhaven",0.381,0.0991,0,-31.388,0,0.037,0.867,0.774,0.111,0.144,74.996,4
spotify:track:1lXvUNmsIY4Pc6Jzzit4rT,"Quiet Life","Quiet Life","Fluvis",2025-11-07,131600,62,false,,2026-03-19T15:17:59Z,"","Calm Lands Music",0.0672,0.0285,7,-30.766,1,0.0331,0.869,0.862,0.111,0.0621,66.42,4
spotify:track:0WMlNzYdZ1m2exVLeiRhd6,"Ombrone","Ombrone","Lucky Lorry",2025-09-19,156800,62,false,,2026-03-19T15:17:59Z,"","Lucky Lorry",0.401,0.0413,7,-28.415,1,0.0377,0.946,0.976,0.0988,0.0382,75.004,4
spotify:track:2JXMD9KZYaoMcVRP7iDyuU,"Ozone","Ozone","Savione",2025-11-07,135920,61,false,,2026-03-19T15:17:59Z,"","Overtone Studios",0.43,0.0312,4,-28.378,0,0.032,0.945,0.88,0.103,0.133,72.045,4
spotify:track:2aRW7EUL4DxTXkZ4MMHIpy,"The Outer Rim","The Outer Rim","Nómis",2025-10-17,165687,61,false,,2026-03-19T15:17:59Z,"","Overtone Studios",0.501,0.0558,5,-30.826,1,0.0282,0.937,0.905,0.0882,0.0396,79.056,5
spotify:track:0pfQoBHepc5zOplOhLDgSh,"Lunar Waves","Lunar Waves","Asher Stone",2025-12-05,159229,61,false,,2026-03-19T15:17:59Z,"","Asher Stone",0.46,0.125,1,-27.127,0,0.0283,0.876,0.95,0.0998,0.0832,77.012,4
spotify:track:58muj8yjz6V4SUvPFWDQpD,"Act Of Courtesy","Act Of Courtesy","Arnar Egilsson",2025-11-28,142040,61,false,,2026-03-19T15:17:59Z,"","Arnar Egilsson",0.399,0.0189,9,-42.324,1,0.0397,0.987,0.833,0.126,0.0949,145.997,4
spotify:track:5JwPU1V6ntfbFsLkrP8UUy,"Moonlight","Moonlight","Sounds of Ellinia",2025-10-17,134117,60,false,,2026-03-19T15:17:59Z,"","Sounds of Ellinia",0.567,0.0563,7,-27.04,1,0.0293,0.839,0.85,0.111,0.139,135.873,4
spotify:track:31oyFnRAl3hmAiG3KKM2IQ,"Edge of Silence","Edge of Silence","Elijah Edwards",2025-11-28,143597,60,false,,2026-03-19T15:17:59Z,"","Overtone Studios",0.445,0.0371,1,-28.53,0,0.0309,0.983,0.906,0.0988,0.1,145.922,4
spotify:track:5mW28881SdFzUxSWWjBNDe,"Subconsciously","Subconsciously","Space Access",2025-10-24,138937,60,false,,2026-03-19T15:17:59Z,"","Overtone Studios",0.547,0.153,1,-19.972,1,0.0488,0.981,0.953,0.111,0.287,79.995,4
spotify:track:5aRP2RFKtIaZ5HcXOJddfP,"Berlin","Berlin","Nelson Robert",2025-11-21,139800,60,false,,2026-03-19T15:17:59Z,"","Overtone Studios",0.412,0.0812,9,-30.654,0,0.0284,0.987,0.922,0.0996,0.126,144.051,4
spotify:track:06MH21SjyQ0c5xaM8dc72J,"Parallax","Parallax","Auric Drift",2026-02-13,134881,56,false,,2026-03-19T15:17:59Z,"","Auric Drift",0.527,0.0485,9,-28.73,0,0.0386,0.981,0.952,0.075,0.166,71.017,4
spotify:track:2tAXo2Ej9MHBqWpShZSsWw,"Horizon Drift","Horizon Drift","Jo Anand",2025-11-16,141743,60,false,,2026-03-19T15:17:59Z,"","Chill Palm",0.478,0.294,8,-21.84,1,0.0328,0.972,0.905,0.107,0.199,143.846,4
spotify:track:3eJOUAHNk36uNoj6CkdMzD,"Soft Breeze","Soft Breeze","Änge",2026-02-20,147583,59,false,,2026-03-19T15:17:59Z,"","Änge",0.458,0.0457,7,-28.843,0,0.0332,0.973,0.908,0.105,0.13,75.047,4
spotify:track:2Fp6Fp3ZAp9cWu8n1S1lOe,"Heatwave","Heatwave","Atlas",2026-02-13,140161,56,false,,2026-03-19T15:17:59Z,"","Overtone Studios",0.487,0.0377,5,-28.896,1,0.0373,0.978,0.821,0.0996,0.29,70.975,1
spotify:track:46U1Xr3n0EeKXa3CvLz9pg,"1965","1965","Ólafur Apollo",2026-01-30,169153,59,false,,2026-03-19T15:17:59Z,"","Ólafur Apollo",0.428,0.0207,7,-29.878,0,0.0366,0.933,0.896,0.0999,0.0497,65.036,4
spotify:track:5B4kEOgBhKxkKk7cLWFWTu,"The Meadows","The Meadows","Briar Hollings",2026-01-30,129712,59,false,,2026-03-19T15:17:59Z,"","Briar Hollings",0.425,0.0741,2,-26.743,1,0.0305,0.919,0.867,0.111,0.0736,75.059,4
spotify:track:6TkaPL3umExUMvBbnjjDJr,"Rewind","Rewind","Altered Echoes",2026-02-13,138846,55,false,,2026-03-19T15:17:59Z,"","Altered Echoes",0.364,0.149,2,-20.9,1,0.0301,0.966,0.749,0.103,0.0641,103.906,4
