Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1vsmKs885FtoEnTHjltUqy,"Piano Focus","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,153208,37,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.399,0.000946,10,-34.674,1,0.0506,0.994,0.961,0.0951,0.181,69.348,3
spotify:track:3pgg9tHf2mWcUdbwDe78Oc,"Focus Your Mind","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,137962,35,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.435,0.00255,2,-34.054,1,0.0583,0.996,0.97,0.0971,0.242,69.519,3
spotify:track:4Votrp0bVSDgJA7EGFkj9M,"Brain Power","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,143889,35,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.344,0.00157,1,-33.95,1,0.052,0.994,0.955,0.114,0.318,69.585,3
spotify:track:1YmlKmrRackyBmBoW3XdJS,"Learn Faster","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,152357,35,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.468,0.000968,0,-34.71,1,0.0542,0.996,0.968,0.109,0.384,69.126,3
spotify:track:17GcjWYtq5yYfzxNJHYNJf,"Classical Piano Overture","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,157449,37,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.324,0.000584,5,-36.379,1,0.0499,0.993,0.966,0.117,0.124,65.308,3
spotify:track:3g15FFlbiVBJBN6sR74JlW,"Easy Study","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,160000,33,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.256,0.000461,6,-36.625,1,0.0591,0.991,0.969,0.0933,0.194,69.443,3
spotify:track:4NUx72gCSPxxPrBUUiNywV,"Studying Music with Piano","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,146425,33,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.427,0.000945,4,-32.984,1,0.0556,0.985,0.968,0.103,0.371,68.464,4
spotify:track:1dsgq1x5u53Q2BXqpKDYGy,"Activate the Brain","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,160845,33,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.461,0.000787,2,-32.726,0,0.0497,0.992,0.973,0.0869,0.292,69.719,3
spotify:track:2gbKN3zUHgj59pHfzsfXJU,"Cottage Morning Music","Relax Sleep Study Ambiance","Study Motivation;Study Music And Piano Music",2021-01-26,86086,31,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Piano Instrumental Crew",0.161,0.0158,3,-29.482,0,0.0393,0.835,0.971,0.11,0.0351,136.912,3
spotify:track:6HMUCPQHhlNrqy4HPGD5yU,"Reduce Stress","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,156604,32,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.428,0.00117,2,-32.22,1,0.05,0.992,0.958,0.102,0.244,68.727,3
spotify:track:17GcjWYtq5yYfzxNJHYNJf,"Classical Piano Overture","Study Music: Soothing Piano for Focus and Concentration","Study Music Library",2019-02-05,157449,37,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Lito Warrior Music",0.324,0.000584,5,-36.379,1,0.0499,0.993,0.966,0.117,0.124,65.308,3
spotify:track:5WFhvxx71pOpGumgHRzy54,"Ambience Glow","Study Library Ambience","Study Music Library",2021-12-27,125408,0,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Meditation Music",0.176,0.297,0,-23.542,1,0.127,0.887,0.467,0.268,0.0836,111.106,4
spotify:track:1b0zZPoVW20ETbxLFdBBqP,"Floating Spa","Study Library Ambience","Study Music Library",2021-12-27,139331,0,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Meditation Music",0.232,0.108,0,-19.658,1,0.039,0.969,0.971,0.129,0.0326,112.555,3
spotify:track:5xQBqNWiy9hqK9wJNfg6SY,"40 Hz Pure Gamma Binaural","40 Hz Pure Gamma Binaural","Zenaida Tranquilis",2023-12-12,90689,49,false,31qcipsecystap4pkznjbcixsnh4,2023-12-12T23:23:43Z,"","Daily Meditation",0.231,0.00686,0,-32.301,1,0.0431,0.897,0.894,0.112,0.0254,65.723,3
