Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5fnJ1pJlGgXKy3W6HhjEjV,"my favourite shirt","my favourite shirt","blank maxxymus",2026-02-27,126153,64,false,,2026-04-03T04:00:14Z,"lo-fi beats,lo-fi","Mega-Clout Sounds",0.733,0.191,8,-15.933,1,0.11,0.578,0.898,0.112,0.346,156.032,4
spotify:track:20Y3tPUnJ5Pmkilgt0nXDb,"Transient","Transient","Audio Sculptor",2026-02-27,124628,69,false,,2026-04-03T04:00:14Z,"","Audio Sculptor",0.731,0.0451,10,-17.545,0,0.116,0.784,0.904,0.101,0.199,65.176,4
spotify:track:0mrCVnofqXODFXTcFO2InR,"Static Glow","Static Glow","driftø blues",2026-02-06,117701,65,false,,2026-04-03T04:00:14Z,"lo-fi","driftø blues",0.304,0.0662,11,-27.363,0,0.0453,0.957,0.934,0.11,0.0616,92.947,4
spotify:track:55lNzR3UZCvmCzlBHekdzf,"roller skating","roller skating","Sleepr Cell",2026-02-13,144100,58,false,,2026-04-03T04:00:14Z,"lo-fi beats,lo-fi","aisle filler",0.7,0.116,10,-12.669,1,0.0638,0.336,0.614,0.109,0.392,83.036,4
spotify:track:4Pja7k6BaxssHuY8rVkNSP,"palm of my hand","palm of my hand","Westover Denver",2026-02-22,144589,67,false,,2026-04-03T04:00:14Z,"","Chill Caterpillar",0.618,0.0428,0,-14.963,1,0.0324,0.887,0.924,0.0854,0.208,73.043,4
spotify:track:6VVw1EElwMRwRJPFRfCstX,"Stillness","Stillness","Ptr.;mellow fox",2026-03-13,123196,51,false,,2026-04-03T04:00:14Z,"chillstep,lo-fi,lo-fi beats","Ptr. & mellow fox",0.667,0.143,7,-18.462,1,0.0946,0.627,0.693,0.0793,0.358,74.987,4
spotify:track:52Bud0dXCjqlbzxp32yjYu,"Warm Light, Cold Rain","Warm Light, Cold Rain","Moonloop",2025-09-24,140571,60,false,,2026-04-03T04:00:14Z,"lo-fi","Golden Hour",0.842,0.302,3,-15.457,0,0.0913,0.563,0.883,0.0993,0.812,140.024,4
spotify:track:0IzTSNSWtKPlA0tORo7rIh,"The Last Train","The Last Train","Mondo Loops;L.Dre",2025-09-19,116363,56,false,,2026-04-03T04:00:14Z,"lo-fi hip hop,lo-fi,lo-fi beats","Vybe Village",0.662,0.0577,6,-20.619,0,0.0569,0.805,0.933,0.103,0.106,66.015,4
spotify:track:091MxV6HynELA1e48gdsbE,"Fragments","Fragments","Hoogway",2026-02-26,150750,53,false,,2026-04-03T04:00:14Z,"lo-fi hip hop,lo-fi,lo-fi beats","Hoogway",0.668,0.274,8,-13.832,0,0.0554,0.627,0.867,0.0984,0.189,79.991,4
spotify:track:5jf4jUDfHruFyFj25TTWTD,"Weightless","Weightless","cxlt.;Ptr.",2026-01-30,134400,53,false,,2026-04-03T04:00:14Z,"lo-fi hip hop,lo-fi,lo-fi beats,chillstep","cxlt. & Ptr.",0.608,0.158,8,-18.741,1,0.0368,0.93,0.941,0.0858,0.387,74.992,4
