Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5EIFtcs5653Xjgs1gAAB7a,"Pee Loon Lofi Mix","Pee Loon Lofi Mix","Pritam;Mohit Chauhan;Kedrock;Sd Style",2022-06-09,194261,61,false,31udz5hatufjptdcf4d52esbfykq,2023-11-25T15:19:24Z,"bollywood,hindi pop,desi,sufi,lo-fi","T-Series",0.322,0.439,8,-6.807,1,0.0441,0.658,0.00000215,0.557,0.423,74.472,4
spotify:track:5Ocj680ji44AtRXvjPbfIp,"Be Intehaan (Lofi Mix)","Be Intehaan (Lofi Mix)","Atif Aslam;Sunidhi Chauhan;Abhimanyu-Pragya",2021-11-23,271846,56,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"bollywood,hindi pop,desi,sufi,qawwali,lo-fi","Tips Music Limited",0.495,0.295,7,-13.811,1,0.0299,0.876,0.222,0.347,0.299,129.896,4
spotify:track:5Hl7XgfwAbZhynTEBNKro7,"In Dino - Lofi Flip","In Dino (Lofi Flip)","VIBIE;Soham;Pritam;Bollywood Lofi;Sayeed Quadri",2021-08-20,273882,47,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.218,0.387,0,-11.676,1,0.0478,0.9,0.00196,0.172,0.122,168.989,4
spotify:track:0ThEdqK8ZBi4nKNs1fOpJD,"Tu Jaane Naa (Lofi Mix)","Tu Jaane Naa (Lofi Mix)","Atif Aslam;DJ Rink",2021-11-19,338875,63,false,31udz5hatufjptdcf4d52esbfykq,2024-01-12T21:37:36Z,"bollywood,hindi pop,desi,sufi,qawwali,lo-fi","Tips Music Limited",0.518,0.719,7,-4.863,1,0.0414,0.574,0.0000697,0.22,0.286,115.032,4
spotify:track:13KIV1iZ2LXabTE1v9GONW,"O Re Piya - Lofi Mix","O Re Piya - Lofi Mix","Salim–Sulaiman;Rahat Fateh Ali Khan;Jaideep Sahni",2023-07-19,225000,61,false,31udz5hatufjptdcf4d52esbfykq,2023-11-25T15:19:35Z,"bollywood,sufi,desi,hindi pop,qawwali,ghazal","YRF Music",0.255,0.412,11,-12.43,0,0.0326,0.785,0.541,0.0932,0.129,95.727,4
spotify:track:1E16f7KcZmuXuhlenRwA2m,"Saibo - Lofi Flip","Saibo (Lofi Flip)","VIBIE;Sachin-Jigar;Shreya Ghoshal;Tochi Raina;Bollywood Lofi",2021-06-18,146666,62,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,gujarati pop,bollywood,hindi pop,desi,gujarati garba,kannada pop,marathi pop,bangla pop,sufi","Sony Music Entertainment India Pvt. Ltd.",0.323,0.349,7,-12.524,1,0.0761,0.965,0.00548,0.116,0.2,180.203,4
spotify:track:1pnC5d46tqFwjqGtbjJPn7,"Subhanallah Lofi Mix","Subhanallah Lofi Mix","Pritam;Sreerama Chandra;Shilpa Rao;Kedrock;Sd Style",2022-06-20,199026,60,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"bollywood,hindi pop,desi,tollywood,lo-fi","T-Series",0.249,0.461,9,-6.897,1,0.0373,0.692,0.00000247,0.249,0.154,79.894,4
spotify:track:11na2yXOmMbkUL8f5j6vxZ,"Main Rang Sharbaton Ka (Lofi Mix)","Main Rang Sharbaton Ka (Lofi Mix)","Atif Aslam;Chinmayi;Abhimanyu-Pragya",2022-04-02,147000,61,false,31udz5hatufjptdcf4d52esbfykq,2024-02-29T19:56:16Z,"bollywood,hindi pop,desi,sufi,qawwali,tamil pop,marathi pop,kollywood,tollywood,telugu pop,lo-fi","Tips Music Limited",0.547,0.43,6,-10.917,1,0.0311,0.679,0.396,0.112,0.501,79.923,4
spotify:track:2vIBf8EmRy7m4Q9kR2dikH,"Tum Se Hi (From ""Love In Lo-Fi Volume 1"")","Tum Se Hi (From ""Love In Lo-Fi Volume 1"")","Mohit Chauhan;Dj Chetas;DJ Nyk",2022-02-14,278776,59,false,314eev5tke7rs6llrfjgqok3nuaq,2024-11-26T21:01:31Z,"bollywood,hindi pop,sufi,desi,gujarati garba,lo-fi","T-Series",0.499,0.506,6,-10.45,1,0.0296,0.481,0.00131,0.397,0.255,130.089,4
spotify:track:6PEKFVQUBEY2zQEE7bYEpF,"Tera Hone Laga Hoon (Lofi Mix)","Tera Hone Laga Hoon (Lofi Mix)","Atif Aslam;Alisha Chinai;Abhimanyu-Pragya",2022-04-21,270526,61,false,31udz5hatufjptdcf4d52esbfykq,2024-02-29T19:58:33Z,"bollywood,hindi pop,desi,sufi,qawwali,desi pop,lo-fi","Tips Music Limited",0.478,0.393,5,-13.627,0,0.0433,0.485,0.0699,0.126,0.128,113.72,4
spotify:track:0LMGlOgPDCBvIaWXmJpuDl,"Dil Diyan Gallan - LoFi Mix","Dil Diyan Gallan - LoFi Mix","Vishal-Shekhar;Atif Aslam;Irshad Kamil",2022-04-16,206869,59,false,31udz5hatufjptdcf4d52esbfykq,2023-11-25T15:18:40Z,"bollywood,desi,hindi pop,sufi,qawwali","YRF Music",0.661,0.33,2,-13.622,1,0.0318,0.942,0.82,0.109,0.255,94.991,4
spotify:track:05R5NzVM92huBXaszuXSZH,"Teri Ore (Lo-Fi Flip)","Teri Ore (Lo-Fi Flip)","VIBIE",2021-10-25,243000,58,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi","Times Music",0.325,0.487,2,-10.638,1,0.0681,0.677,0.000112,0.159,0.205,160.26,4
spotify:track:7JOFplrLQfYkuEcWCASZDo,"Iktara - Lofi Flip","Iktara (Lofi Flip)","VIBIE;Amit Trivedi;Kavita Seth;Amitabh Bhattacharya;Bollywood Lofi",2021-07-09,174000,61,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,bollywood,hindi pop,gujarati garba,desi,hindi indie,indian indie,ghazal,sufi","Sony Music Entertainment India Pvt. Ltd.",0.382,0.52,7,-12.319,1,0.0366,0.225,0.0506,0.427,0.179,159.894,4
spotify:track:3YTEBVb0zW3M5VriZKgoCJ,"Toh Phir Aao (Reprise)","Toh Phir Aao (Reprise)","JalRaj",2021-09-12,274624,4,false,31udz5hatufjptdcf4d52esbfykq,2024-02-28T13:23:31Z,"lo-fi,hindi indie","Jalraj",0.413,0.461,9,-9.263,0,0.0294,0.645,0.0012,0.268,0.165,179.612,4
spotify:track:4XdgtQ0wt7fikgV4xvR5tm,"Piya O Re Piya (Lofi Mix)","Piya O Re Piya (Lofi Mix)","Atif Aslam;Shreya Ghoshal;Shahraaz Khan",2022-02-24,177031,60,false,31udz5hatufjptdcf4d52esbfykq,2023-11-25T15:19:08Z,"bollywood,hindi pop,desi,sufi,qawwali,kannada pop,marathi pop,bangla pop,lo-fi","Tips Music Limited",0.358,0.329,2,-13.108,1,0.0326,0.81,0.00000912,0.164,0.145,84.579,4
spotify:track:70UVYSIGQzwptU7gelP0sp,"Tose Naina (From ""Mickey Virus"")","Soulful Sufi's","Arijit Singh",2020-04-02,263549,35,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"hindi pop,bollywood,desi,bangla pop","T-Series",0.523,0.561,4,-6.474,1,0.0329,0.426,0,0.109,0.31,139.885,4
spotify:track:3TEpHcylaJDZyYOiBVzlwN,"Raanjhanaa - Lofi Flip","Raanjhanaa (Lofi Flip)","Silent Ocean;Jaswinder Singh;Shiraz Uppal;A.R. Rahman",2021-10-15,190000,57,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,hindi pop,bollywood,qawwali,tamil pop,kollywood,sufi","Sony Music Entertainment India Pvt. Ltd.",0.272,0.473,6,-11.03,0,0.0944,0.788,0.119,0.949,0.323,200.01,4
spotify:track:4DvAqLQNC0kW3XT2EE69cY,"Tum Tak - Lofi Flip","Tum Tak (Lofi Flip)","Deepanshu Ruhela;Swattrex;Javed Ali;A.R. Rahman",2022-06-17,128399,58,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,sufi,bollywood,qawwali,hindi pop,desi,desi pop,tamil pop,kollywood","Sony Music Entertainment India Pvt. Ltd.",0.696,0.451,2,-9.711,1,0.0317,0.174,0.0000484,0.722,0.396,116.997,4
spotify:track:2vR23BjIzpLMtzsyKrM6Mb,"Saiyyan","Jhoomo Re","Kailash Kher;Paresh Kamath;Naresh Kamath",2011-06-03,343906,75,false,31udz5hatufjptdcf4d52esbfykq,2023-09-20T12:29:07Z,"sufi,bhajan,bollywood,qawwali,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.473,0.562,0,-8.624,1,0.0451,0.65,0.000117,0.12,0.316,74.653,3
spotify:track:1CsRoIeHaHRysPMoEaKRoQ,"Tum Mile - Lofi Flip","Tum Mile (Lofi Flip)","KSW;Neeraj Shridhar;Pritam",2021-08-13,242103,60,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.711,0.579,0,-11.059,1,0.0363,0.218,0.053,0.32,0.21,114.96,4
spotify:track:4blqlsA1uf2d2I40E90EUC,"Tere Hawaale (From ""Laal Singh Chaddha"")","Tere Hawaale (From ""Laal Singh Chaddha"")","Pritam;Arijit Singh;Shilpa Rao",2022-08-04,346290,73,false,31udz5hatufjptdcf4d52esbfykq,2023-07-28T07:30:53Z,"bollywood,hindi pop,desi,bangla pop","T-Series",0.589,0.522,9,-10.649,1,0.0391,0.642,0.0000274,0.0992,0.31,109.094,4
spotify:track:6qSNgCUyjfThWCLkFlvEIe,"Shayad X Samjhawan - Lofi Flip","Shayad X Samjhawan (Lofi Flip)","Amtee;Arijit Singh;Pritam;Jawad Ahmad;Shaarib Toshi",2023-01-12,188555,56,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,hindi pop,bollywood,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.542,0.412,6,-9.544,1,0.0315,0.891,0,0.109,0.267,105.132,4
spotify:track:7nsjBUVRQTUEvCReXAtVPi,"Kesariya - Lofi Flip","Kesariya (Lofi Flip)","VIBIE;Arijit Singh;Pritam;Bollywood Lofi",2022-10-13,240157,56,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,hindi pop,bollywood,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.602,0.41,11,-12.368,1,0.0391,0.213,0.00000119,0.235,0.0671,95.02,4
spotify:track:5iCY0TXNImK4hyKfcplQsg,"Baarishein","Baarishein","Anuv Jain",2018-01-12,207309,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"indian indie,hindi indie,hindi pop","Anuv Jain",0.475,0.124,2,-9.463,1,0.0444,0.926,0,0.0972,0.19,94.42,4
spotify:track:7vwTvVDpsONocB0zr8ShtJ,"Ranjha - Lofi Flip","Ranjha (Lofi Flip)","VIBIE;Jasleen Royal;B Praak;Bollywood Lofi",2021-11-05,201600,57,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,hindi pop,bollywood,desi,gujarati pop,hindi indie,desi pop","Sony Music Entertainment India Pvt. Ltd.",0.581,0.432,1,-10.701,1,0.168,0.799,0.000178,0.0844,0.309,150.185,4
spotify:track:1gxmaTGnxEgZuV8485tevN,"Alag Aasmaan (Acoustic)","Alag Aasmaan (Acoustic)","Anuv Jain",2021-11-19,211578,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"indian indie,hindi indie,hindi pop","Anuv Jain",0.625,0.103,5,-13.387,1,0.0435,0.921,0.00000106,0.107,0.668,115.732,4
spotify:track:15BDf9qq9tl09Yw5l6fvrI,"Love Me Thoda Lofi","Swattrex Ke Lofi","Swattrex",2021-07-07,224548,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi","Swattrex",0.273,0.483,5,-12.497,1,0.115,0.598,0.0968,0.122,0.0875,90.463,4
spotify:track:67nxgDAXgyahpQ0DMqM6lW,"Soniyo - Lofi Flip","Soniyo (Lofi Flip)","Deepanshu Ruhela;Sonu Nigam;Shreya Ghoshal;Neeraj Shridhar;Raju Singh",2021-10-22,203469,51,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.73,0.497,9,-9.579,1,0.0322,0.167,0.000249,0.725,0.252,109.969,4
spotify:track:1bVyGEGJ3oNqBUKv2jZFSo,"Mera Mann (Lo-fi Remix )","Mera Mann (Lo-fi Remix )","Lofiwaala;Bishal Barman (Copyright Control);Bishal Barman",2021-01-01,153235,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi","Lofiwaala",0.301,0.115,2,-20.589,1,0.0336,0.633,0.00222,0.109,0.0778,140.259,4
spotify:track:21hHDH6amg7qm9QR9vfqb9,"Jashne Bahara - Lofi Flip","Jashne Bahara (Lofi Flip)","Jammy Weirdo;Mig",2021-06-11,184888,55,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi","UTV",0.697,0.3,9,-13.677,1,0.0368,0.425,0.000372,0.114,0.251,134.937,4
spotify:track:1lIYP8fDGGnp91OMTUnwjV,"Waqt Ki Baatein","Waqt Ki Baatein - Single","Dream Note",2018-03-15,243310,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"indian indie,hindi indie","Dream Note",0.555,0.205,4,-16.452,1,0.0329,0.916,0.056,0.112,0.216,145.004,3
spotify:track:6GWchpKWsKkwR6jcl0yG6V,"Pyaar Ke Pal","Pal","KK",1999-04-16,359373,53,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"bollywood,hindi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.599,0.135,4,-12.376,1,0.0308,0.845,0.0000243,0.11,0.168,122.107,3
spotify:track:6871FKHumiy1Wfr6vF7Xxt,"Hawayein (From ""Jab Harry Met Sejal"")","Hawayein (From ""Jab Harry Met Sejal"")","Pritam;Arijit Singh",2017-07-26,290000,66,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"bollywood,hindi pop,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.606,0.601,2,-5.576,1,0.0283,0.796,0.000511,0.127,0.453,125.961,4
spotify:track:3qToa7nSnKh49amY8uWS3B,"Sajdaa - Lofi Flip","Sajdaa (Lofi Flip)","Deepanshu Ruhela;Rahat Fateh Ali Khan;Shankar Mahadevan;Richa Sharma;Shankar-Ehsaan-Loy",2021-12-24,128360,52,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,sufi,qawwali,bollywood,hindi pop,desi,ghazal,marathi pop,devotional,bhajan,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.496,0.519,8,-8.515,1,0.0397,0.49,0.0000805,0.217,0.0951,140.127,4
spotify:track:0QuJBzeSuk3vqwNmnBvhSM,"Ajib Dastan Hai Yeh - LoFi","Lofi Chill Mix","Lata Mangeshkar",2021-12-27,236725,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"ghazal,bollywood,hindi pop,bhajan,marathi pop","Saregama India Ltd",0.46,0.544,5,-8.244,1,0.0427,0.86,0.818,0.124,0.261,100.834,4
spotify:track:6KvXpACADAz73IPrCgXobL,"Alfaazo","Alfaazo","Mitraz",2023-01-19,158447,62,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"indian indie,hindi indie,desi pop,desi,hindi pop","Sony Music / Big Bang Records Pvt. Ltd.",0.688,0.523,2,-8.67,1,0.0349,0.365,0.0038,0.122,0.284,100.055,4
spotify:track:0463k0z2J1zmUNcSgriaYT,"Teri Hogaiyaan Lofi Mix","Teri Hogaiyaan Lofi Mix","Sanjay S Yadav;Slickmusix",2021-07-18,137496,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi","7F Star Music Co.",0.329,0.301,2,-16.22,1,0.0537,0.227,0.0238,0.312,0.0971,88.751,5
spotify:track:0HnbfIzOu6eLF8Kb1mT9Wl,"Laaree Chootee","Laaree Chootee","WORMONO;Tejas R.H",2021-02-19,130718,52,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi","WORMONO",0.303,0.349,11,-15.52,1,0.208,0.758,0.000169,0.363,0.337,180.246,4
spotify:track:7EcRb9AkOSRXdTFAlKt5Vy,"Falak Tak - LoFi Mix","Falak Tak - LoFi Mix","Udit Narayan;Mahalaxmi Iyer",2022-10-21,229859,59,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"bollywood,hindi pop,desi","YRF Music",0.627,0.379,2,-9.177,0,0.0453,0.798,0.0122,0.135,0.0526,141.809,4
spotify:track:56NEBOZVI0GxY3kI542uAu,"Tere Bina - Lofi Flip","Tere Bina - Lofi Flip","Jay Kava",2021-08-12,167129,0,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi","Jay Kava",0.611,0.313,2,-14.208,1,0.0659,0.27,0.434,0.132,0.235,144.068,4
spotify:track:3IOgP2PSCTdoAID7VmMGEh,"Ek Ladki Ko Dekha Toh Aisa Laga - Title Track","Ek Ladki Ko Dekha Toh Aisa Laga","Darshan Raval;Rochak Kohli;R. D. Burman",2019-01-30,155172,67,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"gujarati garba,hindi pop,gujarati pop,bollywood,desi pop,desi,ghazal","Saregama",0.532,0.603,10,-7.575,1,0.0545,0.756,0,0.323,0.431,173.955,4
spotify:track:5f4CDQSxZJ8GuYdwMdz37V,"Mere Bina - Lofi Flip","Mere Bina (Lofi Flip)","KSW;Nikhil D'Souza;Pritam",2021-10-01,162780,55,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,bollywood,hindi pop,hindi indie,indian indie,desi","Sony Music Entertainment India Pvt. Ltd.",0.602,0.397,1,-7.724,1,0.0367,0.508,0.00592,0.174,0.105,78.019,4
spotify:track:1Bd027R0spghop0PUwgjyN,"Kabhii Tumhhe - Lofi Flip","Kabhii Tumhhe (Lofi Flip)","VIBIE;Darshan Raval;Javed-Mohsin;Bollywood Lofi",2021-12-03,217411,53,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,gujarati garba,hindi pop,gujarati pop,bollywood,desi pop,desi","Sony Music Entertainment India Pvt. Ltd.",0.289,0.372,7,-10.075,0,0.0504,0.837,0.000491,0.345,0.198,79.634,4
spotify:track:1KPAtV3E11Y3pbnzUOtO0d,"Samjhawan - Lofi Flip","Samjhawan (Lofi Flip)","KSW;Arijit Singh;Shreya Ghoshal;Shaarib Toshi;Jawad Ahmad",2022-06-10,227100,64,false,31udz5hatufjptdcf4d52esbfykq,2023-07-21T06:17:48Z,"lo-fi,hindi pop,bollywood,desi,bangla pop,kannada pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.58,0.418,4,-10.307,1,0.0295,0.453,0.00151,0.28,0.168,107.031,4
spotify:track:1u4JZDeRVFD6f6SHPuLCvv,"Bandeya - Lofi Flip","Bandeya (Lofi Flip)","Kritiman Mishra;Arijit Singh;Shaarib Toshi",2023-05-04,185573,52,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,hindi pop,bollywood,desi,bangla pop","Pooja Music",0.649,0.463,0,-8.596,1,0.0308,0.0246,0.0038,0.123,0.0796,89.959,4
spotify:track:7mh4KIB1ajU4lXzR1NgTRd,"Pyaar Ke Pal - Lofi Flip","Pyaar Ke Pal (Lofi Flip)","Kritiman Mishra;KK;Leslee Lewis",2023-05-25,195276,36,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,bollywood,hindi pop,desi,desi pop,tamil pop,tamil dance,kollywood","Sony Music Entertainment India Pvt. Ltd.",0.532,0.172,2,-18.871,1,0.0315,0.533,0.91,0.102,0.0769,121.964,4
spotify:track:7eAAurrscWUrAqy9WrNHGs,"Suraj Hua Maddham - Lofi Flip","Suraj Hua Maddham (Lofi Flip)","Silent Ocean;MAV;Sandesh Shandilya;Sonu Nigam;Alka Yagnik",2023-06-22,212249,40,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,bollywood,kannada pop,sandalwood,hindi pop,desi,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.415,0.562,5,-7.244,1,0.033,0.563,0.0108,0.106,0.0572,79.962,4
spotify:track:1G9sOxmVZMxvv6RoUGLmJy,"Baatein Ye Kabhi Na - Lofi Flip","Baatein Ye Kabhi Na (Lofi Flip)","Deepanshu Ruhela;Swattrex;Arijit Singh;Jeet Gannguli;Sayeed Quadri",2022-03-18,158360,44,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,hindi pop,bollywood,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.539,0.481,1,-11.066,0,0.0262,0.832,0,0.0565,0.235,84.998,4
spotify:track:5AuX6ALpT2Uca9oPArGMx6,"Raataan Lambiyan - Lofi Flip","Raataan Lambiyan (Lofi Flip)","SPECRO;SKETCH;Jubin Nautiyal;Asees Kaur;Tanishk Bagchi",2023-05-11,222000,35,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,bhajan,hindi pop,bollywood,devotional,gujarati garba,desi,desi pop","Sony Music Entertainment India Pvt. Ltd.",0.593,0.467,9,-10.462,1,0.0335,0.653,0.0593,0.102,0.0949,80.996,4
spotify:track:01iMTLk72XWI6pCH2QZ3sR,"Bheegi Si Bhaagi Si - Lofi Flip","Bheegi Si Bhaagi Si (Lofi Flip)","Kedrock;Sd Style;Mohit Chauhan;Antara Mitra;Pritam",2022-06-03,186000,57,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,bollywood,hindi pop,sufi,desi","Sony Music Entertainment India Pvt. Ltd.",0.204,0.506,8,-10.205,1,0.0837,0.151,0.000319,0.163,0.0592,80.027,4
spotify:track:5w1MhmSc5S5iHnhy4s3fFb,"Hawayein - Lofi Flip","Hawayein (Lofi Flip)","VIBIE;Arijit Singh;Pritam;Bollywood Lofi",2022-04-01,313040,59,false,31udz5hatufjptdcf4d52esbfykq,2023-07-25T18:35:56Z,"lo-fi,hindi pop,bollywood,desi,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.489,0.313,2,-14.965,1,0.0633,0.875,0.0125,0.235,0.332,114.71,4
