Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7eJMfftS33KTjuF7lTsMCx,"death bed (coffee for your head)","death bed (coffee for your head)","Powfu;beabadoobee",2020-02-08,173333,83,false,cb8pyebbxihiv6jtq58t1du3b,2022-04-18T19:36:54Z,"bedroom pop","Columbia",0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4
spotify:track:3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,66,false,cb8pyebbxihiv6jtq58t1du3b,2022-04-18T19:36:24Z,"","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
spotify:track:4aTCyY8i8m1ZmvOtBi3UTH,"Let Go - Slowed to perfection","Let Go","Ark Patrol",2023-03-14,354651,0,false,cb8pyebbxihiv6jtq58t1du3b,2024-04-04T23:09:04Z,"","Heroic",0.255,0.361,6,-11.862,1,0.0336,0.0778,0.75,0.0922,0.0327,114.662,3
spotify:track:6yIHGmQLJxWAUZ1ZkENemN,"Can't Help Falling in Love","Better","Haley Reinhart",2016-04-29,173174,2,false,cb8pyebbxihiv6jtq58t1du3b,2022-04-18T19:36:24Z,"","Ole Red Dot",0.41,0.0485,0,-13.918,1,0.038,0.947,0,0.108,0.247,137.97,4
spotify:track:3Jget0VMdBrpcvQNjzGTak,"solus","inaccessible","too unbothered.",2024-07-12,102857,51,false,cb8pyebbxihiv6jtq58t1du3b,2024-07-12T05:12:19Z,"dark ambient","iSpyTunes",0.338,0.0597,8,-29.049,0,0.0317,0.912,0.72,0.109,0.117,140.072,4
spotify:track:4xF4ZBGPZKxECeDFrqSAG4,"snowfall","snowfall","Øneheart;reidenshi",2022-01-14,124065,85,false,cb8pyebbxihiv6jtq58t1du3b,2023-04-03T23:19:03Z,"dark ambient,ambient","Øneheart & reidenshi",0.466,0.0918,10,-26.813,1,0.0269,0.929,0.803,0.439,0.0841,95.014,4
spotify:track:5uzLjHqQLk0lCjH7dw9VAF,"Beneath the Quiet","Beneath the Quiet","No One Is Listening",2025-04-11,130410,46,false,cb8pyebbxihiv6jtq58t1du3b,2025-06-25T02:54:24Z,"dark ambient","No One Is Listening",0.264,0.306,9,-18.388,0,0.0449,0.811,0.938,0.0737,0.037,66.112,5
spotify:track:0X4YYZtZcvqNqYIpMd93IT,"i was only temporary","i was only temporary","my head is empty",2023-10-20,98621,74,false,cb8pyebbxihiv6jtq58t1du3b,2024-04-04T21:39:19Z,"dark ambient,ambient","my head is empty",0.332,0.222,7,-30.108,0,0.0394,0.621,0.76,0.109,0.0336,107.067,4
spotify:track:38SxRH83aFH9mKNhBVVGni,"derailed","derailed","too unbothered.",2024-09-20,90000,45,false,cb8pyebbxihiv6jtq58t1du3b,2024-09-20T04:05:20Z,"dark ambient","iSpyTunes",0.419,0.0155,10,-30.609,0,0.0322,0.934,0.781,0.106,0.296,79.858,4
spotify:track:1L3FM5B4z9CMfIJV2QsXlX,"castaway","shutter island","ist;Raouf",2024-06-21,110769,48,false,cb8pyebbxihiv6jtq58t1du3b,2024-06-21T04:14:19Z,"dark ambient,ambient","iSpyTunes",0.359,0.132,4,-21.894,0,0.028,0.938,0.695,0.112,0.118,156.135,4
